"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Loss of Function of SMAD4 in Cancer"	"Loss of Function of SMAD4 in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Loss of Function of TGFBR1 in Cancer"	"Loss of Function of TGFBR1 in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Loss of Function of TGFBR2 in Cancer"	"Loss of Function of TGFBR2 in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Orc1 removal from chromatin"	"Orc1 removal from chromatin"	70	70	58	0.828571428571429	0.240631163708087	122	146	10	0	0.312167751892842	1
"SMAD2/3 MH2 Domain Mutants in Cancer"	"SMAD2/3 MH2 Domain Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"SMAD4 MH2 Domain Mutants in Cancer"	"SMAD4 MH2 Domain Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Signaling by TGF-beta Receptor Complex"	"Signaling by TGF-beta Receptor Complex"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Signaling by TGF-beta Receptor Complex in Cancer"	"Signaling by TGF-beta Receptor Complex in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Switching of origins to a post-replicative state"	"Switching of origins to a post-replicative state"	70	70	58	0.828571428571429	0.240631163708087	122	146	10	0	0.312167751892842	1
"TGFBR1 KD Mutants in Cancer"	"TGFBR1 KD Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"TGFBR1 LBD Mutants in Cancer"	"TGFBR1 LBD Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"TGFBR2 Kinase Domain Mutants in Cancer"	"TGFBR2 Kinase Domain Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"TGFBR2 MSI Frameshift Mutants in Cancer"	"TGFBR2 MSI Frameshift Mutants in Cancer"	70	70	58	0.828571428571429	0.355029585798817	180	269	20	0	0.312167751892842	1
"Signal Transduction"	"Signal Transduction"	2062	2062	1708	0.828322017458778	0.990138067061144	502	7623	257	0	0.0109773389137268	0.359492031911012
"MyD88-independent cascade"	"MyD88-independent cascade"	99	99	82	0.828282828282828	0.408284023668639	207	322	42	0	0.297247250225965	1
"TRIF-mediated TLR3/TLR4 signaling"	"TRIF-mediated TLR3/TLR4 signaling"	99	99	82	0.828282828282828	0.408284023668639	207	322	42	0	0.297247250225965	1
"Toll Like Receptor 3 (TLR3) Cascade"	"Toll Like Receptor 3 (TLR3) Cascade"	99	99	82	0.828282828282828	0.408284023668639	207	322	42	0	0.297247250225965	1
"Metabolism of lipids and lipoproteins"	"Metabolism of lipids and lipoproteins"	569	569	471	0.827768014059754	0.889546351084813	451	1899	85	0	0.142518172281326	1
"Defective AMN causes hereditary megaloblastic anemia 1"	"Defective AMN causes hereditary megaloblastic anemia 1"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective BTD causes biotidinase deficiency"	"Defective BTD causes biotidinase deficiency"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective CD320 causes methylmalonic aciduria"	"Defective CD320 causes methylmalonic aciduria"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective CUBN causes hereditary megaloblastic anemia 1"	"Defective CUBN causes hereditary megaloblastic anemia 1"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective GIF causes intrinsic factor deficiency"	"Defective GIF causes intrinsic factor deficiency"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective HLCS causes multiple carboxylase deficiency"	"Defective HLCS causes multiple carboxylase deficiency"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MMAA causes methylmalonic aciduria type cblA"	"Defective MMAA causes methylmalonic aciduria type cblA"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MMAB causes methylmalonic aciduria type cblB"	"Defective MMAB causes methylmalonic aciduria type cblB"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective MUT causes methylmalonic aciduria mut type"	"Defective MUT causes methylmalonic aciduria mut type"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defective TCN2 causes hereditary megaloblastic anemia"	"Defective TCN2 causes hereditary megaloblastic anemia"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defects in biotin (Btn) metabolism"	"Defects in biotin (Btn) metabolism"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defects in cobalamin (B12) metabolism"	"Defects in cobalamin (B12) metabolism"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Defects in vitamin and cofactor metabolism"	"Defects in vitamin and cofactor metabolism"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Metabolism of vitamins and cofactors"	"Metabolism of vitamins and cofactors"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"Metabolism of water-soluble vitamins and cofactors"	"Metabolism of water-soluble vitamins and cofactors"	87	87	72	0.827586206896552	0.362919132149901	184	264	33	0	0.310304179681352	1
"GAB1 signalosome"	"GAB1 signalosome"	104	104	86	0.826923076923077	0.518737672583826	263	445	85	0	0.30717306889487	1
"Mitochondrial biogenesis"	"Mitochondrial biogenesis"	52	52	43	0.826923076923077	0.289940828402367	147	200	29	0	0.334616196994487	1
"Stabilization of p53"	"Stabilization of p53"	52	52	43	0.826923076923077	0.575936883629191	292	352	257	0	0.334616196994487	1
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"	52	52	43	0.826923076923077	0.157790927021696	80	95	14	0	0.334616196994487	1
"p53-Independent DNA Damage Response"	"p53-Independent DNA Damage Response"	52	52	43	0.826923076923077	0.157790927021696	80	95	14	0	0.334616196994487	1
"p53-Independent G1/S DNA damage checkpoint"	"p53-Independent G1/S DNA damage checkpoint"	52	52	43	0.826923076923077	0.157790927021696	80	95	14	0	0.334616196994487	1
"Regulation of DNA replication"	"Regulation of DNA replication"	75	75	62	0.826666666666667	0.250493096646943	127	156	10	0	0.324647647837169	1
"beta-catenin independent WNT signaling"	"beta-catenin independent WNT signaling"	144	144	119	0.826388888888889	0.467455621301775	237	429	20	0	0.293229006136614	1
"Abortive elongation of HIV-1 transcript in the absence of Tat"	"Abortive elongation of HIV-1 transcript in the absence of Tat"	23	23	19	0.826086956521739	0.0946745562130177	48	53	10	0	0.346919762044051	1
"Activated TLR4 signalling"	"Activated TLR4 signalling"	115	115	95	0.826086956521739	0.445759368836292	226	355	42	0	0.309867295101026	1
"FGFR ligand binding and activation"	"FGFR ligand binding and activation"	23	23	19	0.826086956521739	0.0946745562130177	48	50	9	0	0.346919762044051	1
"Interferon gamma signaling"	"Interferon gamma signaling"	92	92	76	0.826086956521739	0.337278106508876	171	253	13	0	0.321009167423888	1
"MicroRNA (miRNA) biogenesis"	"MicroRNA (miRNA) biogenesis"	23	23	19	0.826086956521739	0.138067061143984	70	78	10	0	0.346919762044051	1
"Regulation of Complement cascade"	"Regulation of Complement cascade"	23	23	19	0.826086956521739	0.201183431952663	102	128	18	0	0.346919762044051	1
"Sulfur amino acid metabolism"	"Sulfur amino acid metabolism"	23	23	19	0.826086956521739	0.0631163708086785	32	35	5	0	0.346919762044051	1
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"	"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"	86	86	71	0.825581395348837	0.323471400394477	164	251	10	0	0.328441610393959	1
"Asymmetric localization of PCP proteins"	"Asymmetric localization of PCP proteins"	63	63	52	0.825396825396825	0.191321499013807	97	121	9	0	0.340624785985048	1
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"Class C/3 (Metabotropic glutamate/pheromone receptors)"	40	40	33	0.825	0.268244575936884	136	185	24	0	0.351963181305884	1
"Negative regulation of FGFR signaling"	"Negative regulation of FGFR signaling"	40	40	33	0.825	0.151873767258383	77	89	9	0	0.351963181305884	1
"Meiotic synapsis"	"Meiotic synapsis"	57	57	47	0.824561403508772	0.406311637080868	206	296	79	0	0.349384503278959	1
"Metabolism of amino acids and derivatives"	"Metabolism of amino acids and derivatives"	188	188	155	0.824468085106383	0.465483234714004	236	380	11	0	0.297963664326075	1
"Autodegradation of the E3 ubiquitin ligase COP1"	"Autodegradation of the E3 ubiquitin ligase COP1"	51	51	42	0.823529411764706	0.571992110453649	290	349	257	0	0.358781136737847	1
"Cytosolic sulfonation of small molecules"	"Cytosolic sulfonation of small molecules"	17	17	14	0.823529411764706	0.0650887573964497	33	37	5	0	0.353644094882067	1
"Downstream signaling events of B Cell Receptor (BCR)"	"Downstream signaling events of B Cell Receptor (BCR)"	170	170	140	0.823529411764706	0.6232741617357	316	613	85	0	0.315971321696019	1
"EPHA-mediated growth cone collapse"	"EPHA-mediated growth cone collapse"	34	34	28	0.823529411764706	0.32741617357002	166	239	24	0	0.361619113723817	1
"Homologous Recombination Repair"	"Homologous Recombination Repair"	17	17	14	0.823529411764706	0.167652859960552	85	105	16	0	0.353644094882067	1
"Homologous recombination repair of replication-independent double-strand breaks"	"Homologous recombination repair of replication-independent double-strand breaks"	17	17	14	0.823529411764706	0.167652859960552	85	105	16	0	0.353644094882067	1
"KSRP destabilizes mRNA"	"KSRP destabilizes mRNA"	17	17	14	0.823529411764706	0.0453648915187377	23	23	4	0	0.353644094882067	1
"PKA-mediated phosphorylation of CREB"	"PKA-mediated phosphorylation of CREB"	17	17	14	0.823529411764706	0.193293885601578	98	114	25	0	0.353644094882067	1
"Platelet sensitization by LDL"	"Platelet sensitization by LDL"	17	17	14	0.823529411764706	0.134122287968442	68	77	43	0	0.353644094882067	1
"Zinc transporters"	"Zinc transporters"	17	17	14	0.823529411764706	0.0631163708086785	32	38	5	0	0.353644094882067	1
"RMTs methylate histone arginines"	"RMTs methylate histone arginines"	45	45	37	0.822222222222222	0.2465483234714	125	168	21	0	0.368946927704612	1
"Asparagine N-linked glycosylation"	"Asparagine N-linked glycosylation"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG1 causes ALG1-CDG (CDG-1k)"	"Defective ALG1 causes ALG1-CDG (CDG-1k)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG11 causes ALG11-CDG (CDG-1p)"	"Defective ALG11 causes ALG11-CDG (CDG-1p)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG12 causes ALG12-CDG (CDG-1g)"	"Defective ALG12 causes ALG12-CDG (CDG-1g)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)"	"Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG2 causes ALG2-CDG (CDG-1i)"	"Defective ALG2 causes ALG2-CDG (CDG-1i)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG3 causes ALG3-CDG (CDG-1d)"	"Defective ALG3 causes ALG3-CDG (CDG-1d)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG6 causes ALG6-CDG (CDG-1c)"	"Defective ALG6 causes ALG6-CDG (CDG-1c)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG8 causes ALG8-CDG (CDG-1h)"	"Defective ALG8 causes ALG8-CDG (CDG-1h)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective ALG9 causes ALG9-CDG (CDG-1l)"	"Defective ALG9 causes ALG9-CDG (CDG-1l)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective MAN1B1 causes MRT15"	"Defective MAN1B1 causes MRT15"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective MOGS causes MOGS-CDG (CDG-2b)"	"Defective MOGS causes MOGS-CDG (CDG-2b)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Defective RFT1 causes RFT1-CDG (CDG-1n)"	"Defective RFT1 causes RFT1-CDG (CDG-1n)"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Diseases associated with N-glycosylation of proteins"	"Diseases associated with N-glycosylation of proteins"	118	118	97	0.822033898305085	0.349112426035503	177	263	8	0	0.350408872549039	1
"Cytokine Signaling in Immune system"	"Cytokine Signaling in Immune system"	308	308	253	0.821428571428571	0.717948717948718	364	965	85	0	0.307065974268724	1
"degradation of DVL"	"degradation of DVL"	56	56	46	0.821428571428571	0.199211045364892	101	119	11	0	0.372893021412606	1
"mRNA Capping"	"mRNA Capping"	28	28	23	0.821428571428571	0.112426035502959	57	66	10	0	0.372131243268064	1
"Post-translational protein modification"	"Post-translational protein modification"	278	278	228	0.820143884892086	0.741617357001972	376	1049	92	0	0.334496877027437	1
"Regulation of Apoptosis"	"Regulation of Apoptosis"	50	50	41	0.82	0.143984220907298	73	85	8	0	0.383880707041353	1
"Regulatory RNA pathways"	"Regulatory RNA pathways"	100	100	82	0.82	0.388560157790927	197	331	12	0	0.376104957156992	1
"Ubiquitin-dependent degradation of Cyclin D"	"Ubiquitin-dependent degradation of Cyclin D"	50	50	41	0.82	0.138067061143984	70	80	8	0	0.383880707041353	1
"Ubiquitin-dependent degradation of Cyclin D1"	"Ubiquitin-dependent degradation of Cyclin D1"	50	50	41	0.82	0.138067061143984	70	80	8	0	0.383880707041353	1
"Ca2+ pathway"	"Ca2+ pathway"	61	61	50	0.819672131147541	0.289940828402367	147	217	20	0	0.385649431221627	1
"Toll-Like Receptors Cascades"	"Toll-Like Receptors Cascades"	144	144	118	0.819444444444444	0.502958579881657	255	471	42	0	0.372764011954307	1
"Platelet activation, signaling and aggregation"	"Platelet activation, signaling and aggregation"	221	221	181	0.819004524886878	0.775147928994083	393	1059	187	0	0.363343623675819	1
"Activation of the phototransduction cascade"	"Activation of the phototransduction cascade"	11	11	9	0.818181818181818	0.0493096646942801	25	28	10	0	0.35812930386222	1
"Androgen biosynthesis"	"Androgen biosynthesis"	11	11	9	0.818181818181818	0.0335305719921105	17	17	3	0	0.35812930386222	1
"Calnexin/calreticulin cycle"	"Calnexin/calreticulin cycle"	11	11	9	0.818181818181818	0.0552268244575937	28	30	8	0	0.35812930386222	1
"Cholesterol biosynthesis"	"Cholesterol biosynthesis"	22	22	18	0.818181818181818	0.0611439842209073	31	34	5	0	0.383745122840367	1
"Condensation of Prometaphase Chromosomes"	"Condensation of Prometaphase Chromosomes"	11	11	9	0.818181818181818	0.0749506903353057	38	39	7	0	0.35812930386222	1
"Extrinsic Pathway"	"Extrinsic Pathway"	22	22	18	0.818181818181818	0.193293885601578	98	114	42	0	0.383745122840367	1
"Facilitative Na+-independent glucose transporters"	"Facilitative Na+-independent glucose transporters"	11	11	9	0.818181818181818	0.0493096646942801	25	25	8	0	0.35812930386222	1
"GABA receptor activation"	"GABA receptor activation"	55	55	45	0.818181818181818	0.337278106508876	171	253	25	0	0.397199006614995	1
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	11	11	9	0.818181818181818	0.0532544378698225	27	29	7	0	0.35812930386222	1
"Nicotinate metabolism"	"Nicotinate metabolism"	11	11	9	0.818181818181818	0.0591715976331361	30	31	7	0	0.35812930386222	1
"Nuclear Pore Complex (NPC) Disassembly"	"Nuclear Pore Complex (NPC) Disassembly"	33	33	27	0.818181818181818	0.16370808678501	83	111	11	0	0.392420551715921	1
"Pyruvate metabolism"	"Pyruvate metabolism"	22	22	18	0.818181818181818	0.0729783037475345	37	40	6	0	0.383745122840367	1
"Signaling by NOTCH3"	"Signaling by NOTCH3"	11	11	9	0.818181818181818	0.0749506903353057	38	42	15	0	0.35812930386222	1
"Signaling by NOTCH4"	"Signaling by NOTCH4"	11	11	9	0.818181818181818	0.0631163708086785	32	35	10	0	0.35812930386222	1
"Unwinding of DNA"	"Unwinding of DNA"	11	11	9	0.818181818181818	0.0611439842209073	31	32	6	0	0.35812930386222	1
"Gene Expression"	"Gene Expression"	1164	1164	952	0.81786941580756	0.942800788954635	478	3544	66	0	0.270727072944282	1
"G1/S DNA Damage Checkpoints"	"G1/S DNA Damage Checkpoints"	60	60	49	0.816666666666667	0.583826429980276	296	366	257	0	0.409214900244237	1
"Muscle contraction"	"Muscle contraction"	49	49	40	0.816326530612245	0.526627218934911	267	438	187	0	0.409853256224897	1
"Regulation of activated PAK-2p34 by proteasome mediated degradation"	"Regulation of activated PAK-2p34 by proteasome mediated degradation"	49	49	40	0.816326530612245	0.138067061143984	70	81	8	0	0.409853256224897	1
"Transcription of the HIV genome"	"Transcription of the HIV genome"	65	65	53	0.815384615384615	0.252465483234714	128	171	20	0	0.420160714777604	1
"AUF1 (hnRNP D0) destabilizes mRNA"	"AUF1 (hnRNP D0) destabilizes mRNA"	54	54	44	0.814814814814815	0.167652859960552	85	102	15	0	0.422241249391319	1
"Cell Cycle"	"Cell Cycle"	518	518	422	0.814671814671815	0.942800788954635	478	2050	257	0	0.412847210436239	1
"S Phase"	"S Phase"	124	124	101	0.814516129032258	0.3767258382643	191	278	10	0	0.432322372148782	1
"MyD88 cascade initiated on plasma membrane"	"MyD88 cascade initiated on plasma membrane"	86	86	70	0.813953488372093	0.319526627218935	162	241	10	0	0.435702418801499	1
"Toll Like Receptor 10 (TLR10) Cascade"	"Toll Like Receptor 10 (TLR10) Cascade"	86	86	70	0.813953488372093	0.319526627218935	162	241	10	0	0.435702418801499	1
"Toll Like Receptor 5 (TLR5) Cascade"	"Toll Like Receptor 5 (TLR5) Cascade"	86	86	70	0.813953488372093	0.319526627218935	162	241	10	0	0.435702418801499	1
"Transcriptional activation of mitochondrial biogenesis"	"Transcriptional activation of mitochondrial biogenesis"	43	43	35	0.813953488372093	0.268244575936884	136	183	29	0	0.423897329995097	1
"Degradation of GLI1 by the proteasome"	"Degradation of GLI1 by the proteasome"	59	59	48	0.813559322033898	0.191321499013807	97	112	8	0	0.433405995532525	1
"Signaling by the B Cell Receptor (BCR)"	"Signaling by the B Cell Receptor (BCR)"	209	209	170	0.813397129186603	0.674556213017751	342	763	85	0	0.447706850219864	1
"Oxidative Stress Induced Senescence"	"Oxidative Stress Induced Senescence"	91	91	74	0.813186813186813	0.692307692307692	351	560	257	0	0.443795207204159	1
"GPCR downstream signaling"	"GPCR downstream signaling"	966	966	785	0.812629399585921	0.942800788954635	478	3302	85	0	0.457743255821838	1
"Amine-derived hormones"	"Amine-derived hormones"	16	16	13	0.8125	0.0986193293885602	50	53	10	0	0.396874755371351	1
"Amino acid synthesis and interconversion (transamination)"	"Amino acid synthesis and interconversion (transamination)"	16	16	13	0.8125	0.0532544378698225	27	27	5	0	0.396874755371351	1
"Chaperonin-mediated protein folding"	"Chaperonin-mediated protein folding"	48	48	39	0.8125	0.209072978303748	106	133	25	0	0.436623854491762	1
"Oncogene Induced Senescence"	"Oncogene Induced Senescence"	32	32	26	0.8125	0.625246548323471	317	421	257	0	0.424614186134975	1
"Regulation of KIT signaling"	"Regulation of KIT signaling"	16	16	13	0.8125	0.0887573964497041	45	51	8	0	0.396874755371351	1
"Spry regulation of FGF signaling"	"Spry regulation of FGF signaling"	16	16	13	0.8125	0.0650887573964497	33	38	9	0	0.396874755371351	1
"Meiosis"	"Meiosis"	85	85	69	0.811764705882353	0.518737672583826	263	435	79	0	0.456246605267651	1
"Glucose metabolism"	"Glucose metabolism"	69	69	56	0.811594202898551	0.242603550295858	123	169	11	0	0.45290460428609	1
"Phospholipid metabolism"	"Phospholipid metabolism"	138	138	112	0.811594202898551	0.57396449704142	291	501	85	0	0.467713245462843	1
"Gastrin-CREB signalling pathway via PKC and MAPK"	"Gastrin-CREB signalling pathway via PKC and MAPK"	217	217	176	0.811059907834101	0.712031558185404	361	820	85	0	0.483362443231342	1
"Apoptosis"	"Apoptosis"	148	148	120	0.810810810810811	0.743589743589744	377	702	257	0	0.478796482971005	1
"Signaling by GPCR"	"Signaling by GPCR"	1078	1078	874	0.810760667903525	0.958579881656805	486	3604	85	0	0.524022564892081	1
"Cleavage of Growing Transcript in the Termination Region"	"Cleavage of Growing Transcript in the Termination Region"	42	42	34	0.80952380952381	0.128205128205128	65	84	8	0	0.452731572580966	1
"Formation of HIV elongation complex in the absence of HIV Tat"	"Formation of HIV elongation complex in the absence of HIV Tat"	42	42	34	0.80952380952381	0.16370808678501	83	97	10	0	0.452731572580966	1
"Formation of HIV-1 elongation complex containing HIV-1 Tat"	"Formation of HIV-1 elongation complex containing HIV-1 Tat"	42	42	34	0.80952380952381	0.161735700197239	82	97	10	0	0.452731572580966	1
"Formation of RNA Pol II elongation complex"	"Formation of RNA Pol II elongation complex"	42	42	34	0.80952380952381	0.16370808678501	83	97	10	0	0.452731572580966	1
"HIV Transcription Elongation"	"HIV Transcription Elongation"	42	42	34	0.80952380952381	0.161735700197239	82	97	10	0	0.452731572580966	1
"NOTCH2 Activation and Transmission of Signal to the Nucleus"	"NOTCH2 Activation and Transmission of Signal to the Nucleus"	21	21	17	0.80952380952381	0.106508875739645	54	67	13	0	0.42292182847626	1
"Post-Elongation Processing of the Transcript"	"Post-Elongation Processing of the Transcript"	42	42	34	0.80952380952381	0.128205128205128	65	84	8	0	0.452731572580966	1
"RNA Polymerase II Transcription Elongation"	"RNA Polymerase II Transcription Elongation"	42	42	34	0.80952380952381	0.16370808678501	83	97	10	0	0.452731572580966	1
"RNA Polymerase II Transcription Termination"	"RNA Polymerase II Transcription Termination"	42	42	34	0.80952380952381	0.128205128205128	65	84	8	0	0.452731572580966	1
"Tat-mediated elongation of the HIV-1 transcript"	"Tat-mediated elongation of the HIV-1 transcript"	42	42	34	0.80952380952381	0.161735700197239	82	97	10	0	0.452731572580966	1
"Triglyceride Biosynthesis"	"Triglyceride Biosynthesis"	42	42	34	0.80952380952381	0.19723865877712	100	116	17	0	0.452731572580966	1
"Mitotic Anaphase"	"Mitotic Anaphase"	172	172	139	0.808139534883721	0.453648915187377	230	407	13	0	0.518302157143509	1
"Factors involved in megakaryocyte development and platelet production"	"Factors involved in megakaryocyte development and platelet production"	125	125	101	0.808	0.759368836291913	385	738	257	0	0.507243299476404	1
"Insulin processing"	"Insulin processing"	26	26	21	0.807692307692308	0.145956607495069	74	94	13	0	0.442451879314034	1
"RNA Pol II CTD phosphorylation and interaction with CE"	"RNA Pol II CTD phosphorylation and interaction with CE"	26	26	21	0.807692307692308	0.0986193293885602	50	58	10	0	0.442451879314034	1
"RNA Polymerase II Transcription"	"RNA Polymerase II Transcription"	104	104	84	0.807692307692308	0.309664694280079	157	245	20	0	0.50314558942221	1
"Synthesis of substrates in N-glycan biosythesis"	"Synthesis of substrates in N-glycan biosythesis"	52	52	42	0.807692307692308	0.169625246548323	86	100	6	0	0.474235848845013	1
"TAK1 activates NFkB by phosphorylation and activation of IKKs complex"	"TAK1 activates NFkB by phosphorylation and activation of IKKs complex"	26	26	21	0.807692307692308	0.138067061143984	70	84	9	0	0.442451879314034	1
"p53-Dependent G1 DNA Damage Response"	"p53-Dependent G1 DNA Damage Response"	57	57	46	0.807017543859649	0.581854043392505	295	361	257	0	0.483383056640744	1
"p53-Dependent G1/S DNA damage checkpoint"	"p53-Dependent G1/S DNA damage checkpoint"	57	57	46	0.807017543859649	0.581854043392505	295	361	257	0	0.483383056640744	1
"Cell Cycle, Mitotic"	"Cell Cycle, Mitotic"	445	445	359	0.806741573033708	0.826429980276134	419	1382	71	0	0.591281760692731	1
"Fc epsilon receptor (FCERI) signaling"	"Fc epsilon receptor (FCERI) signaling"	212	212	171	0.806603773584906	0.686390532544379	348	799	85	0	0.54983811907199	1
"RNA Polymerase II Pre-transcription Events"	"RNA Polymerase II Pre-transcription Events"	62	62	50	0.806451612903226	0.250493096646943	127	164	20	0	0.491730831915517	1
"The phototransduction cascade"	"The phototransduction cascade"	31	31	25	0.806451612903226	0.128205128205128	65	83	10	0	0.458074150040495	1
"disassembly of the destruction complex and recruitment of AXIN to the membrane"	"disassembly of the destruction complex and recruitment of AXIN to the membrane"	31	31	25	0.806451612903226	0.191321499013807	97	119	19	0	0.458074150040495	1
"Programmed Cell Death"	"Programmed Cell Death"	160	160	129	0.80625	0.765285996055227	388	759	257	0	0.539916351331006	1
"Export of Viral Ribonucleoproteins from Nucleus"	"Export of Viral Ribonucleoproteins from Nucleus"	36	36	29	0.805555555555556	0.181459566074951	92	124	11	0	0.47111399852885	1
"Membrane Trafficking"	"Membrane Trafficking"	190	190	153	0.805263157894737	0.58974358974359	299	661	26	0	0.562912919151576	1
"Cell Cycle Checkpoints"	"Cell Cycle Checkpoints"	118	118	95	0.805084745762712	0.660749506903353	335	508	257	0	0.537376450174009	1
