"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"MyD88 dependent cascade initiated on endosome"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK4 IRF7 JUN MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 TAB3 TRAF6 UBE2V1 DHX36 TLR9 TLR7 TLR8"
"MyD88-independent cascade"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC UBE2D1 CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BIRC2 BIRC3 CASP8 CD14 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ELK1 FADD FOS HMGB1 IKBKB IKBKE IKBKG IRAK1 IRAK2 IRF3 IRF7 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 RELA RIPK1 RIPK2 RIPK3 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SARM1 TAB3 TANK TBK1 TICAM1 TICAM2 TLR3 TLR4 TRAF3 TRAF6 UBE2D2 UBE2V1"
"MyD88:Mal cascade initiated on plasma membrane"	"RPS27A UBA52 MAPK14 CHUK CREB1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC CDK1 IL6 IL6R IL6ST JAK1 JAK2 MAP2K2 MAPK1 MAPK3 TYK2 AGER ATF1 ATF2 BTK CD14 CD36 DHX9 DUSP3 DUSP4 DUSP6 DUSP7 ECSIT ELK1 FOS HMGB1 IKBKB IKBKG IRAK1 IRAK2 IRAK3 IRAK4 JUN LY96 MAP2K3 MAP2K6 MAP2K7 MAP3K1 MAP3K7 MAPK10 MAPK7 MAPK8 MAPK9 MAPKAPK2 MAPKAPK3 MEF2A MEF2C MYD88 NFKBIA NFKBIB NOD1 NOD2 PELI1 PELI2 PELI3 RELA RIPK2 RPS6KA2 RPS6KA3 RPS6KA5 S100A12 S100B SAA1 SIGIRR SOCS1 TAB3 TIRAP TLR1 TLR2 TLR4 TLR6 TRAF6 UBE2V1"
"Myoclonic epilepsy of Lafora"	"RPS27A UBA52 PRPS1 PRPS1L1 PRPS2 AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN ABCC5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D UBB UBC PCK1 CALM1 PRKACA PRKACB PRKACG SLC25A10 GOT2 AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 GLB1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 SLC26A1 SLC26A2 SLC35B2 SLC35B3 UGP2 PC ARSB HEXB HYAL1 HYAL3 IDS IDUA CD44 PKLR CHPF CHPF2 CHST12 CHST13 CHST15 CHST3 CHST7 CHST9 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE DSEL MDH2 SLC2A5 GNS SLC2A1 SLC2A3 ACAN B3GNT2 B3GNT3 B3GNT7 CHST1 CHST2 CHST5 CHST6 EXT1 EXT2 FMOD GLB1L GUSB HAS1 HAS2 HAS3 HMMR HPSE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HS6ST3 HYAL2 KERA LUM LYVE1 NAGLU NDST1 NDST2 NDST4 OGN OMD PRELP SGSH SLC35D2 GCK SLC2A2 AMY1A AMY1B AMY2A AMY2B MGAM SI TREH AGL ALDOA ALDOB ALDOC ENO1 ENO2 EPM2A FBP1 FBP2 G6PC G6PC2 G6PC3 G6PD GALK1 GALT GAPDH GAPDHS GBE1 GCKR GPI GYG1 GYG2 GYS1 GYS2 HK1 HK2 HK3 KHK MDH1 NHLRC1 PCK2 PFKFB1 PFKFB2 PFKFB4 PFKL PFKM PGAM2 PGD PGK1 PGLS PGM1 PGM2 PHKA1 PHKA2 PHKB PHKG1 PHKG2 PYGB PYGL PYGM RPE RPIA SLC25A1 SLC25A12 SLC25A13 SLC37A4 SLC5A1 SLC5A3 SLC5A4 SLC5A9 TALDO1 TKT TPI1"
"Myogenesis"	"MAPK14 CTNNB1 MAP2K6 MEF2A MEF2C BOC CDON CDH15 CDH2 CTNNA1 ABL1 CTNNA2 MEF2B MEF2D MYF5 MYF6 MYOD1 MYOG NTN3 TCF12 TCF3 TCF4"
"N-Glycan antennae elongation"	"B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 MGAT4A MGAT4B ST3GAL4 ST6GAL1 ST8SIA2 ST8SIA3"
"N-glycan antennae elongation in the medial/trans-Golgi"	"B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 FUT8 MAN2A1 MAN2A2 MGAT2 MGAT4A MGAT4B ST3GAL4 ST6GAL1 ST8SIA2 ST8SIA3"
"N-glycan trimming and elongation in the cis-Golgi"	"MAN1A1 MAN1A2 MANEA MGAT1"
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle"	"CALR CANX PRKCSH EDEM1 EDEM2 EDEM3 GANAB MAN1B1 MOGS UGGT2"
"NADE modulates death signalling"	"NGF CASP3 NGFR CASP2 NGFRAP1"
"NADPH regeneration"	"IDH1"
"NCAM signaling for neurite out-growth"	"AGRN NCAN SRC CREB1 CDK1 HRAS IL6 IL6R IL6ST JAK1 JAK2 KRAS MAP2K2 MAPK1 MAPK3 NRAS RAF1 TYK2 YWHAB RPS6KA5 SOS1 FGFR1 FYN GRB2 SPTBN2 CACNA1C CACNA1D CACNB2 CACNB3 PTK2 SPTAN1 ST8SIA2 ST8SIA4 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL6A1 COL6A2 COL6A3 COL6A5 COL6A6 ARTN CACNA1G CACNA1H CACNA1S CACNB1 CACNB4 CNTN2 COL9A1 COL9A2 GDNF GFRA1 GFRA2 GFRA4 NCAM1 NRTN PRNP PSPN PTPRA SPTA1 SPTB SPTBN1 SPTBN4"
"NCAM1 interactions"	"AGRN NCAN CACNA1C CACNA1D CACNB2 CACNB3 ST8SIA2 ST8SIA4 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL6A1 COL6A2 COL6A3 COL6A5 COL6A6 ARTN CACNA1G CACNA1H CACNA1S CACNB1 CACNB4 CNTN2 COL9A1 COL9A2 GDNF GFRA1 GFRA2 GFRA4 NCAM1 NRTN PRNP PSPN"
"NEP/NS2 Interacts with the Cellular Export Machinery"	"AAAS NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 POM121 RAE1 RANBP2 SEH1L TPR PNP BLOC1S6 PBRM1 XPO1"
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	"CHUK CASP8 FADD IKBKB IKBKG RIPK1 DDX58 TRIM25 CASP10 IFIH1 MAVS RNF135"
"NF-kB is activated and signals survival"	"RPS27A UBA52 UBB UBC NGF IKBKB IRAK1 NFKBIA RELA TRAF6 NGFR SQSTM1"
"NFG and proNGF binds to p75NTR"	"NGF NGFR"
"NGF processing"	"NGF FURIN PCSK6 PCSK5"
"NGF signalling via TRKA from the plasma membrane"	"MAPK14 SRC AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5D CDK1 BRAF HRAS IL6 IL6R IL6ST JAK1 JAK2 KRAS MAP2K2 MAPK1 MAPK3 NGF NRAS NTRK1 RAF1 RAP1A TYK2 YWHAB PRKCA ATF1 DUSP3 DUSP4 DUSP6 DUSP7 ELK1 MAPK7 MAPKAPK2 MAPKAPK3 MEF2A MEF2C RPS6KA2 RPS6KA3 RPS6KA5 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 CALM1 CAMK4 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 PDPK1 PRKACA PRKACB PRKACG THEM4 TRIB3 SOS1 ADRBK1 ADCYAP1 ADCYAP1R1 ADORA2A NTRK2 AGO1 AGO2 AGO3 AGO4 AP2A1 AP2A2 AP2M1 BTC CD19 CD28 CD80 CD86 CLTA DNM1 DNM2 DNM3 EGFR ERBB2 ERBB3 ERBB4 EREG FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYN GAB1 GRB2 HBEGF IRS1 IRS2 ITPR1 ITPR2 ITPR3 KIT KITLG KL LCK MAPKAP1 MIR26A1 MIR26A2 MLST8 MOV10 MTOR NRG1 NRG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PLCG1 PTEN RICTOR SH3GL2 SHC1 TNRC6A TNRC6C TRAT1 VAV1 PRKAR2B PRKCD PRKAR1A PRKAR1B PRKAR2A RHOA PDE1A PDE1B PDE1C PRKCG MAPK13 STAT3 CRKL RAPGEF1 PRKCE SHC2 SHC3 RALA RALB RALGDS RIT1 RIT2"
"NGF-independant TRKA activation"	"NTRK1 ADCYAP1 ADCYAP1R1 ADORA2A NTRK2"
"NICD traffics to nucleus"	"NOTCH1 NOTCH2 NOTCH3 NOTCH4 CREBBP KAT2A KAT2B MAML1 MAML2 MAML3 MAMLD1 RBPJ SNW1"
"NOD1/2 Signaling Pathway"	"MAPK14 CASP9 CHUK ITCH BIRC2 BIRC3 CASP8 IKBKB IKBKG IRAK1 IRAK2 MAP2K6 MAP3K7 NOD1 NOD2 RIPK2 TAB3 TRAF6 UBE2V1 CASP2 MAPK13 CASP1 CARD9 CASP4 CYLD TNFAIP3"
"NOSIP mediated eNOS trafficking"	"NOS3 NOSIP"
"NOSTRIN mediated eNOS trafficking"	"DNM2 WASL CAV1 NOS3 NOSTRIN"
"NOTCH1 Intracellular Domain Regulates Transcription"	"RPS27A UBA52 NOTCH1 CUL1 HDAC1 SKP1 TLE1 TLE2 TLE4 UBB UBC CREBBP TBL1X TBL1XR1 FBXW7 HDAC6 HDAC3 NCOR1 HDAC8 MYC HIF1A HDAC2 KAT2A KAT2B NCOR2 CCNC CDK8 HDAC11 HDAC4 HDAC5 HDAC7 HDAC9 HES1 HES5 HEY1 HEY2 HEYL MAML1 MAML2 MAML3 MAMLD1 RBPJ SNW1"
"NOTCH2 Activation and Transmission of Signal to the Nucleus"	"RPS27A UBA52 APH1A NCSTN NOTCH2 PSEN2 PSENEN UBB UBC CNTN1 DLL1 JAG1 JAG2 MIB1 MIB2 NEURL1B MDK"
"NOTCH2 intracellular domain regulates transcription"	"NOTCH2 CREB1 GZMB HES1 HES5 MAML1 MAML2 MAML3 MAMLD1 RBPJ FCER2"
"NRAGE signals death through JNK"	"BAD NGF MAPK8 BCL2L11 RASGRF2 RAC1 SOS1 SOS2 VAV1 ARHGEF11 ARHGEF12 ARHGEF7 ITSN1 KALRN NGEF TIAM1 TRIO VAV2 VAV3 NGFR AATF AKAP13 ARHGAP4 ARHGEF16 ARHGEF17 ARHGEF18 ARHGEF2 ARHGEF3 ARHGEF6 ARHGEF9 ECT2 FGD1 FGD2 FGD3 FGD4 MAGED1 MCF2 MCF2L OBSCN PLEKHG2 PLEKHG5"
"NRIF signals cell death from the nucleus"	"RPS27A UBA52 APH1A NCSTN PSEN2 PSENEN UBB UBC NGF MAPK8 TRAF6 NGFR ITGB3BP SQSTM1"
"Na+-dependent glucose transporters"	"SLC5A1 SLC5A3 SLC5A4 SLC5A9"
"Na+/Cl- dependent neurotransmitter transporters"	"SLC22A1 SLC22A2 SLC18A1 SLC18A2 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A14 SLC6A18 SLC6A19 SLC6A2 SLC6A20 SLC6A3 SLC6A5 SLC6A6 SLC6A7 SLC6A9"
"Nectin/Necl  trans heterodimerization"	"PVR PVRL2 CADM1 CADM3 PVRL1 PVRL3 PVRL4"
"Nef Mediated CD4 Down-regulation"	"AP2A1 AP2A2 AP2M1 ARF1 CD4 LCK ATP6V1H"
"Nef Mediated CD8 Down-regulation"	"AP2A1 AP2A2 AP2M1 CD8B ATP6V1H"
"Nef and signal transduction"	"PAK2 RAC1 CD247 FYN LCK HCK DOCK2 ELMO1"
"Nef mediated downregulation of CD28 cell surface expression"	"AP2M1 CD28"
"Nef mediated downregulation of MHC class I complex cell surface expression"	"AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 B2M HLA-A PACS1"
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	"AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 AP2A1 AP2A2 AP2M1 ARF1 B2M CD28 CD4 CD8B HLA-A LCK ATP6V1H PACS1"
"Negative epigenetic regulation of rRNA expression"	"HDAC1 H2AFX POLR2E POLR2H POLR2K POLR2L H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB CCNH CDK7 MNAT1 SMARCA5 SIRT1 ARID4B HDAC2 SAP18 SAP30 SAP30L SUDS3 SUV39H1 ERCC2 POLR1C POLR1D GTF2H1 GTF2H2 GTF2H3 GTF2H4 DNMT1 DNMT3B TBP BAZ2A MBD2 POLR1A POLR1B POLR1E RRP8 SAP30BP SIN3B TAF1A TAF1C TAF1D TTF1 TWISTNB UBTF ZNRD1"
"Negative regulation of FGFR signaling"	"RPS27A UBA52 SRC PPP2CA PPP2CB PPP2R1A UBB UBC BRAF MAPK1 MAPK3 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 CBL FGF19 FGFR1 FGFR3 FGFR4 FRS2 GRB2 KL MKNK1 SPRY2"
"Negative regulation of the PI3K/AKT network"	"AKT1 AKT2 AKT3 THEM4 TRIB3 PHLPP1 PHLPP2 PTEN"
"Negative regulators of RIG-I/MDA5 signaling"	"RPS27A UBA52 UBB UBC UBE2D1 ITCH IKBKE IRF3 TBK1 TRAF3 UBE2D2 UBA7 UBE2L6 DDX58 HERC5 ISG15 PIN1 TRIM25 PCBP2 ATG12 ATG5 CYLD IFIH1 MAVS NLRC5 NLRX1 OTUD5 RNF125 RNF135 TAX1BP1 TNFAIP3"
"Nephrin interactions"	"ACTN2 NCK1 NCK2 FYN PIK3CA PIK3CB PIK3R1 PIK3R2 SPTAN1 SPTBN1 WASL ACTN1 ACTN3 ACTN4 CASK CD2AP IQGAP1 KIRREL KIRREL2 KIRREL3 MAGI2 NPHS1"
"Netrin mediated repulsion signals"	"SRC FYN PTK2 DCC UNC5A UNC5B UNC5D"
"Netrin-1 signaling"	"SRC NCK1 RAC1 ROBO1 SLIT2 FYN PLCG1 TRPC1 PTK2 ABLIM1 ABLIM2 ABLIM3 AGAP2 DCC DOCK1 HFE2 MYO10 RGMA RGMB SIAH1 SIAH2 SLIT3 TRIO TRPC3 TRPC4 TRPC5 TRPC6 TRPC7 UNC5A UNC5B UNC5D WASL"
"Neurofascin interactions"	"CNTN1 ANK1 CNTNAP1 DCX NFASC NRCAM SDCBP"
"Neuronal System"	"ABCC8 ABCC9 GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 GNAI3 GNAT3 MDM2 CREB1 BRAF HRAS MAPK1 RAF1 KCNJ11 KCNJ8 HSPA8 SLC22A1 SLC22A2 CHRNA1 CHRNA2 CHRNA3 CHRNA5 CHRNA6 CHRNA7 CHRNA9 CHRNB2 CHRNB3 CHRNB4 CHRND CHRNG BZRAP1 CHAT CPLX1 PPFIA1 PPFIA2 PPFIA3 PPFIA4 RAB3A RIMS1 SLC18A3 SLC5A7 SNAP25 STX1A STXBP1 SYT1 UNC13B PLCB1 PLCB3 PRKCA RPS6KA2 RPS6KA3 GRIA1 GRIA2 GRIA3 GRIA4 CALM1 DLG1 DLG3 GRIK2 GRIK3 GRIK4 NCALD CAMK4 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ16 KCNJ2 KCNJ3 KCNJ5 KCNJ6 KCNJ9 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL PRKCB ACTN2 AKAP9 CAMK2A CAMK2B CAMK2G GRIN1 GRIN2A GRIN2B GRIN2C NEFL PDPK1 PRKACA PRKACB PRKACG RASGRF1 RASGRF2 RPS6KA6 RRAS AP2A1 AP2A2 AP2M1 CACNA2D2 CACNB2 CACNB3 MAOA SLC18A2 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A3 SLC17A7 SLC1A1 SLC1A2 SLC1A3 SLC1A6 SLC1A7 SLC32A1 SLC38A1 SLC38A2 GLS GLS2 GLUL CACNB1 CACNB4 KCNQ3 COMT PRKCG KCNMA1 KCNMB1 KCNMB2 KCNMB3 KCNMB4 KCNN1 KCNN2 KCNN3 ARHGEF9 ABAT ALDH5A1 CACNA1A CACNA1B CACNA1E CACNA2D1 CACNA2D3 CACNG2 CACNG4 SYN1 SYN2 SYN3 GJA10 GJC1 GJD2 PANX1 GABRR1 GABRR2 GABRR3 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ GAD1 GAD2 DNAJC5 MYO6 AKAP5 KCNB1 KCNC2 KCNG2 KCNS3 CACNG3 CACNG8 EPB41L1 GRIP1 GRIP2 NSF ACHE BCHE HCN1 HCN2 HCN3 KCNJ1 KCNA1 KCNA10 KCNA2 KCNA3 KCNA4 KCNA5 KCNA6 KCNA7 KCNAB1 KCNAB2 KCNAB3 KCNB2 KCNC1 KCNC3 KCNC4 KCND1 KCND2 KCND3 KCNF1 KCNG1 KCNG3 KCNG4 KCNH1 KCNH2 KCNH3 KCNH4 KCNH5 KCNH6 KCNH7 KCNH8 KCNK1 KCNK10 KCNK13 KCNK16 KCNK17 KCNK18 KCNK2 KCNK3 KCNK4 KCNK6 KCNK7 KCNK9 KCNQ1 KCNQ4 KCNQ5 KCNS1 KCNS2 KCNV1 KCNV2"
"Neurophilin interactions with VEGF and VEGFR"	"KDR NRP1 NRP2 FLT1"
"Neurotoxicity of clostridium toxins"	"SNAP25 STX1A SYT1 STX1B SV2A SV2B SV2C SYT2 VAMP1"
"Neurotransmitter Clearance In The Synaptic Cleft"	"SLC22A1 SLC22A2 MAOA SLC6A3 COMT ACHE BCHE"
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 GNAI3 GNAT3 MDM2 CREB1 BRAF HRAS MAPK1 RAF1 CHRNA1 CHRNA2 CHRNA3 CHRNA5 CHRNA6 CHRNA7 CHRNA9 CHRNB2 CHRNB3 CHRNB4 CHRND CHRNG PLCB1 PLCB3 PRKCA RPS6KA2 RPS6KA3 GRIA1 GRIA2 GRIA3 GRIA4 CALM1 DLG1 DLG3 GRIK2 GRIK3 GRIK4 NCALD CAMK4 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ16 KCNJ2 KCNJ3 KCNJ5 KCNJ6 KCNJ9 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL PRKCB ACTN2 AKAP9 CAMK2A CAMK2B CAMK2G GRIN1 GRIN2A GRIN2B GRIN2C NEFL PDPK1 PRKACA PRKACB PRKACG RASGRF1 RASGRF2 RPS6KA6 RRAS AP2A1 AP2A2 AP2M1 PRKCG ARHGEF9 CACNG2 CACNG4 GABRR1 GABRR2 GABRR3 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ MYO6 AKAP5 CACNG3 CACNG8 EPB41L1 GRIP1 GRIP2 NSF"
"Neurotransmitter Release Cycle"	"HSPA8 SLC22A1 SLC22A2 BZRAP1 CHAT CPLX1 PPFIA1 PPFIA2 PPFIA3 PPFIA4 RAB3A RIMS1 SLC18A3 SLC5A7 SNAP25 STX1A STXBP1 SYT1 UNC13B MAOA SLC18A2 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC17A7 SLC1A1 SLC1A6 SLC1A7 SLC32A1 SLC38A2 GLS GLS2 ABAT ALDH5A1 SYN1 SYN2 SYN3 GAD1 GAD2 DNAJC5"
"Neurotransmitter uptake and Metabolism In Glial Cells"	"SLC1A2 SLC1A3 SLC38A1 GLUL"
"Nicotinamide salvaging"	"CYP8B1 PTGIS PTGS2 NAMPT"
"Nicotinate metabolism"	"CYP8B1 PTGIS PTGS2 NAMPT NADK NADSYN1 NMNAT1 NMNAT2 NMNAT3 QPRT"
"Nitric oxide stimulates guanylate cyclase"	"ITPR1 PRKG1 PDE1A PDE1B KCNMA1 KCNMB1 KCNMB2 KCNMB3 KCNMB4 PRKG2 NOS1 NOS2 NOS3 PDE10A PDE11A PDE2A PDE3A PDE3B GUCY1A2 GUCY1A3 GUCY1B2 GUCY1B3 MRVI1 PDE9A"
"NoRC negatively regulates rRNA expression"	"HDAC1 H2AFX POLR2E POLR2H POLR2K POLR2L H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB CCNH CDK7 MNAT1 SMARCA5 ARID4B HDAC2 SAP18 SAP30 SAP30L SUDS3 ERCC2 POLR1C POLR1D GTF2H1 GTF2H2 GTF2H3 GTF2H4 DNMT1 DNMT3B TBP BAZ2A MBD2 POLR1A POLR1B POLR1E SAP30BP SIN3B TAF1A TAF1C TAF1D TTF1 TWISTNB UBTF ZNRD1"
"Non-integrin membrane-ECM interactions"	"AGRN SDC1 SDC2 SDC4 PRKCA FGF2 ITGAV ITGB1 ITGB5 PDGFA TTR LAMA3 LAMB3 LAMC2 ITGA6 ITGB4 ITGA2 ITGB3 LAMA1 LAMB1 LAMC1 ACTN1 CASK VTN DAG1 LAMA2 LAMA4 LAMB2 TNC DDR1 DDR2 DMD LAMC3 NRXN1 TRAPPC4"
"Nonhomologous End-joining (NHEJ)"	"LIG4 XRCC4 XRCC5 PRKDC TDP1"
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	"EIF4G1 FAU PABPC1 RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52 PPP2CA PPP2R1A NCBP1 NCBP2 EIF4A3 PPP2R2A MAGOH RBM8A RNPS1 UPF3B ETF1 GSPT2 CASC3 SMG1 SMG5 SMG6 SMG7 SMG8 UPF1 UPF2 UPF3A"
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	"EIF4G1 FAU PABPC1 RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52 NCBP1 NCBP2 ETF1 GSPT2 UPF1"
"Nonsense-Mediated Decay (NMD)"	"EIF4G1 FAU PABPC1 RPL10 RPL10A RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL30 RPL31 RPL32 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL41 RPL5 RPL7 RPL7A RPL8 RPLP0 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS2 RPS20 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS5 RPS6 RPS8 RPS9 RPSA UBA52 PPP2CA PPP2R1A NCBP1 NCBP2 EIF4A3 PPP2R2A MAGOH RBM8A RNPS1 UPF3B ETF1 GSPT2 CASC3 SMG1 SMG5 SMG6 SMG7 SMG8 UPF1 UPF2 UPF3A"
"Norepinephrine Neurotransmitter Release Cycle"	"SLC22A1 SLC22A2 BZRAP1 CPLX1 PPFIA1 PPFIA2 PPFIA3 PPFIA4 RAB3A RIMS1 SNAP25 STX1A STXBP1 SYT1 UNC13B MAOA SLC18A2"
"Notch-HLH transcription pathway"	"NOTCH1 NOTCH2 NOTCH3 NOTCH4 CREBBP KAT2A KAT2B MAML1 MAML2 MAML3 MAMLD1 RBPJ SNW1"
"NrCAM interactions"	"DLG1 DLG3 ANK1 CNTN2 NRCAM NRP2"
