"path_id"	"full_path_length"	"testable_path_length"	"drug_targeted_genes"	"proportion_drug_targeted"
"Signaling by WNT in cancer"	"Signaling by WNT in cancer"	212	212	30	0.141509433962264
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	78	78	11	0.141025641025641
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	78	78	11	0.141025641025641
"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	78	78	11	0.141025641025641
"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	78	78	11	0.141025641025641
"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	78	78	11	0.141025641025641
"Defective CYP1B1 causes Glaucoma"	"Defective CYP1B1 causes Glaucoma"	78	78	11	0.141025641025641
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	78	78	11	0.141025641025641
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	78	78	11	0.141025641025641
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)"	78	78	11	0.141025641025641
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)"	78	78	11	0.141025641025641
"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	"Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX)"	78	78	11	0.141025641025641
"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	"Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A)"	78	78	11	0.141025641025641
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)"	78	78	11	0.141025641025641
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	78	78	11	0.141025641025641
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	78	78	11	0.141025641025641
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	78	78	11	0.141025641025641
"Defective FMO3 causes Trimethylaminuria (TMAU)"	"Defective FMO3 causes Trimethylaminuria (TMAU)"	78	78	11	0.141025641025641
"Defective MAOA causes Brunner syndrome (BRUNS)"	"Defective MAOA causes Brunner syndrome (BRUNS)"	78	78	11	0.141025641025641
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	78	78	11	0.141025641025641
"Phase 1 - Functionalization of compounds"	"Phase 1 - Functionalization of compounds"	78	78	11	0.141025641025641
"FCERI mediated NF-kB activation"	"FCERI mediated NF-kB activation"	57	57	8	0.140350877192982
"Nuclear Envelope Breakdown"	"Nuclear Envelope Breakdown"	50	50	7	0.14
"Mitotic Anaphase"	"Mitotic Anaphase"	172	172	24	0.13953488372093
"PLC beta mediated events"	"PLC beta mediated events"	43	43	6	0.13953488372093
"Transcriptional activation of mitochondrial biogenesis"	"Transcriptional activation of mitochondrial biogenesis"	43	43	6	0.13953488372093
"Signaling by NOTCH"	"Signaling by NOTCH"	122	122	17	0.139344262295082
"Mitotic Metaphase and Anaphase"	"Mitotic Metaphase and Anaphase"	173	173	24	0.138728323699422
"Gastrin-CREB signalling pathway via PKC and MAPK"	"Gastrin-CREB signalling pathway via PKC and MAPK"	217	217	30	0.138248847926267
"Extension of Telomeres"	"Extension of Telomeres"	29	29	4	0.137931034482759
"YAP1- and WWTR1 (TAZ)-stimulated gene expression"	"YAP1- and WWTR1 (TAZ)-stimulated gene expression"	29	29	4	0.137931034482759
"Cholesterol biosynthesis"	"Cholesterol biosynthesis"	22	22	3	0.136363636363636
"Early Phase of HIV Life Cycle"	"Early Phase of HIV Life Cycle"	22	22	3	0.136363636363636
"G-protein mediated events"	"G-protein mediated events"	44	44	6	0.136363636363636
"G2/M Checkpoints"	"G2/M Checkpoints"	44	44	6	0.136363636363636
"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	37	37	5	0.135135135135135
"Depolymerisation of the Nuclear Lamina"	"Depolymerisation of the Nuclear Lamina"	15	15	2	0.133333333333333
"Fatty acids"	"Fatty acids"	15	15	2	0.133333333333333
"Prolactin receptor signaling"	"Prolactin receptor signaling"	15	15	2	0.133333333333333
"Cell Cycle"	"Cell Cycle"	518	518	68	0.131274131274131
"Cell-Cell communication"	"Cell-Cell communication"	130	130	17	0.130769230769231
"Double-Strand Break Repair"	"Double-Strand Break Repair"	23	23	3	0.130434782608696
"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	23	23	3	0.130434782608696
"Telomere C-strand (Lagging Strand) Synthesis"	"Telomere C-strand (Lagging Strand) Synthesis"	23	23	3	0.130434782608696
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	140	140	18	0.128571428571429
"Signaling by Wnt"	"Signaling by Wnt"	286	286	36	0.125874125874126
"Immune System"	"Immune System"	1216	1216	153	0.125822368421053
"Adaptive Immune System"	"Adaptive Immune System"	654	654	82	0.125382262996942
"Activation of gene expression by SREBF (SREBP)"	"Activation of gene expression by SREBF (SREBP)"	40	40	5	0.125
"ChREBP activates metabolic gene expression"	"ChREBP activates metabolic gene expression"	8	8	1	0.125
"DARPP-32 events"	"DARPP-32 events"	24	24	3	0.125
"Downregulation of ERBB4 signaling"	"Downregulation of ERBB4 signaling"	8	8	1	0.125
"Host Interactions with Influenza Factors"	"Host Interactions with Influenza Factors"	8	8	1	0.125
"Ligand-receptor interactions"	"Ligand-receptor interactions"	8	8	1	0.125
"Metabolism of Angiotensinogen to Angiotensins"	"Metabolism of Angiotensinogen to Angiotensins"	16	16	2	0.125
"Oncogene Induced Senescence"	"Oncogene Induced Senescence"	32	32	4	0.125
"PKA activation"	"PKA activation"	16	16	2	0.125
"Regulation of beta-cell development"	"Regulation of beta-cell development"	32	32	4	0.125
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	8	8	1	0.125
"Release of Hh-Np from the secreting cell"	"Release of Hh-Np from the secreting cell"	8	8	1	0.125
"STING mediated induction of host immune responses"	"STING mediated induction of host immune responses"	16	16	2	0.125
"Sema4D mediated inhibition of cell attachment and migration"	"Sema4D mediated inhibition of cell attachment and migration"	8	8	1	0.125
"Synthesis of PG"	"Synthesis of PG"	8	8	1	0.125
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	8	8	1	0.125
"Thrombin signalling through proteinase activated receptors (PARs)"	"Thrombin signalling through proteinase activated receptors (PARs)"	32	32	4	0.125
"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	8	8	1	0.125
"M Phase"	"M Phase"	266	266	33	0.12406015037594
"HIV Infection"	"HIV Infection"	227	227	28	0.123348017621145
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"	41	41	5	0.121951219512195
"Cell surface interactions at the vascular wall"	"Cell surface interactions at the vascular wall"	99	99	12	0.121212121212121
"Metabolism of steroid hormones and vitamin D"	"Metabolism of steroid hormones and vitamin D"	33	33	4	0.121212121212121
"Nuclear Pore Complex (NPC) Disassembly"	"Nuclear Pore Complex (NPC) Disassembly"	33	33	4	0.121212121212121
"Steroid hormones"	"Steroid hormones"	33	33	4	0.121212121212121
"p75 NTR receptor-mediated signalling"	"p75 NTR receptor-mediated signalling"	83	83	10	0.120481927710843
"Cellular response to hypoxia"	"Cellular response to hypoxia"	25	25	3	0.12
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen"	"Regulation of Hypoxia-inducible Factor (HIF) by oxygen"	25	25	3	0.12
"Non-integrin membrane-ECM interactions"	"Non-integrin membrane-ECM interactions"	42	42	5	0.119047619047619
"Activated point mutants of FGFR2"	"Activated point mutants of FGFR2"	17	17	2	0.117647058823529
"Beta-catenin phosphorylation cascade"	"Beta-catenin phosphorylation cascade"	17	17	2	0.117647058823529
"Butyrate Response Factor 1 (BRF1) destabilizes mRNA"	"Butyrate Response Factor 1 (BRF1) destabilizes mRNA"	17	17	2	0.117647058823529
"FGFR2 ligand binding and activation"	"FGFR2 ligand binding and activation"	17	17	2	0.117647058823529
"Homologous Recombination Repair"	"Homologous Recombination Repair"	17	17	2	0.117647058823529
"Homologous recombination repair of replication-independent double-strand breaks"	"Homologous recombination repair of replication-independent double-strand breaks"	17	17	2	0.117647058823529
"Metabolism of porphyrins"	"Metabolism of porphyrins"	17	17	2	0.117647058823529
"PKA activation in glucagon signalling"	"PKA activation in glucagon signalling"	17	17	2	0.117647058823529
"PKA-mediated phosphorylation of CREB"	"PKA-mediated phosphorylation of CREB"	17	17	2	0.117647058823529
"Phosphorylation of the APC/C"	"Phosphorylation of the APC/C"	17	17	2	0.117647058823529
"Platelet sensitization by LDL"	"Platelet sensitization by LDL"	17	17	2	0.117647058823529
"Signaling by FGFR2 mutants"	"Signaling by FGFR2 mutants"	17	17	2	0.117647058823529
"Loss of Function of SMAD2/3 in Cancer"	"Loss of Function of SMAD2/3 in Cancer"	70	70	8	0.114285714285714
"Loss of Function of SMAD4 in Cancer"	"Loss of Function of SMAD4 in Cancer"	70	70	8	0.114285714285714
"Loss of Function of TGFBR1 in Cancer"	"Loss of Function of TGFBR1 in Cancer"	70	70	8	0.114285714285714
"Loss of Function of TGFBR2 in Cancer"	"Loss of Function of TGFBR2 in Cancer"	70	70	8	0.114285714285714
"Regulation of HSF1-mediated heat shock response"	"Regulation of HSF1-mediated heat shock response"	35	35	4	0.114285714285714
"SMAD2/3 MH2 Domain Mutants in Cancer"	"SMAD2/3 MH2 Domain Mutants in Cancer"	70	70	8	0.114285714285714
"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	"SMAD2/3 Phosphorylation Motif Mutants in Cancer"	70	70	8	0.114285714285714
"SMAD4 MH2 Domain Mutants in Cancer"	"SMAD4 MH2 Domain Mutants in Cancer"	70	70	8	0.114285714285714
"Signaling by TGF-beta Receptor Complex"	"Signaling by TGF-beta Receptor Complex"	70	70	8	0.114285714285714
"Signaling by TGF-beta Receptor Complex in Cancer"	"Signaling by TGF-beta Receptor Complex in Cancer"	70	70	8	0.114285714285714
"TGFBR1 KD Mutants in Cancer"	"TGFBR1 KD Mutants in Cancer"	70	70	8	0.114285714285714
"TGFBR1 LBD Mutants in Cancer"	"TGFBR1 LBD Mutants in Cancer"	70	70	8	0.114285714285714
"TGFBR2 Kinase Domain Mutants in Cancer"	"TGFBR2 Kinase Domain Mutants in Cancer"	70	70	8	0.114285714285714
"TGFBR2 MSI Frameshift Mutants in Cancer"	"TGFBR2 MSI Frameshift Mutants in Cancer"	70	70	8	0.114285714285714
"Classical antibody-mediated complement activation"	"Classical antibody-mediated complement activation"	44	44	5	0.113636363636364
"FCERI mediated Ca+2 mobilization"	"FCERI mediated Ca+2 mobilization"	62	62	7	0.112903225806452
"Metabolism of amino acids and derivatives"	"Metabolism of amino acids and derivatives"	188	188	21	0.111702127659574
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	18	18	2	0.111111111111111
"Gamma-carboxylation of protein precursors"	"Gamma-carboxylation of protein precursors"	9	9	1	0.111111111111111
"Norepinephrine Neurotransmitter Release Cycle"	"Norepinephrine Neurotransmitter Release Cycle"	18	18	2	0.111111111111111
"Removal of DNA patch containing abasic residue"	"Removal of DNA patch containing abasic residue"	18	18	2	0.111111111111111
"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	"Removal of aminoterminal propeptides from gamma-carboxylated proteins"	9	9	1	0.111111111111111
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway"	"Resolution of AP sites via the multiple-nucleotide patch replacement pathway"	18	18	2	0.111111111111111
"Synthesis of PIPs at the Golgi membrane"	"Synthesis of PIPs at the Golgi membrane"	18	18	2	0.111111111111111
"cGMP effects"	"cGMP effects"	18	18	2	0.111111111111111
"Hemostasis"	"Hemostasis"	497	497	55	0.110663983903421
"Transmission across Chemical Synapses"	"Transmission across Chemical Synapses"	201	201	22	0.109452736318408
"G alpha (z) signalling events"	"G alpha (z) signalling events"	46	46	5	0.108695652173913
"PPARA activates gene expression"	"PPARA activates gene expression"	111	111	12	0.108108108108108
"Collagen degradation"	"Collagen degradation"	38	38	4	0.105263157894737
"Cyclin D associated events in G1"	"Cyclin D associated events in G1"	38	38	4	0.105263157894737
"G1 Phase"	"G1 Phase"	38	38	4	0.105263157894737
"Na+/Cl- dependent neurotransmitter transporters"	"Na+/Cl- dependent neurotransmitter transporters"	19	19	2	0.105263157894737
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	114	114	12	0.105263157894737
"Transport of vitamins, nucleosides, and related molecules"	"Transport of vitamins, nucleosides, and related molecules"	38	38	4	0.105263157894737
"Defective AMN causes hereditary megaloblastic anemia 1"	"Defective AMN causes hereditary megaloblastic anemia 1"	87	87	9	0.103448275862069
"Defective BTD causes biotidinase deficiency"	"Defective BTD causes biotidinase deficiency"	87	87	9	0.103448275862069
"Defective CD320 causes methylmalonic aciduria"	"Defective CD320 causes methylmalonic aciduria"	87	87	9	0.103448275862069
"Defective CUBN causes hereditary megaloblastic anemia 1"	"Defective CUBN causes hereditary megaloblastic anemia 1"	87	87	9	0.103448275862069
"Defective GIF causes intrinsic factor deficiency"	"Defective GIF causes intrinsic factor deficiency"	87	87	9	0.103448275862069
"Defective HLCS causes multiple carboxylase deficiency"	"Defective HLCS causes multiple carboxylase deficiency"	87	87	9	0.103448275862069
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	87	87	9	0.103448275862069
"Defective MMAA causes methylmalonic aciduria type cblA"	"Defective MMAA causes methylmalonic aciduria type cblA"	87	87	9	0.103448275862069
"Defective MMAB causes methylmalonic aciduria type cblB"	"Defective MMAB causes methylmalonic aciduria type cblB"	87	87	9	0.103448275862069
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	87	87	9	0.103448275862069
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	87	87	9	0.103448275862069
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	87	87	9	0.103448275862069
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	87	87	9	0.103448275862069
"Defective MUT causes methylmalonic aciduria mut type"	"Defective MUT causes methylmalonic aciduria mut type"	87	87	9	0.103448275862069
"Defective TCN2 causes hereditary megaloblastic anemia"	"Defective TCN2 causes hereditary megaloblastic anemia"	87	87	9	0.103448275862069
"Defects in biotin (Btn) metabolism"	"Defects in biotin (Btn) metabolism"	87	87	9	0.103448275862069
"Defects in cobalamin (B12) metabolism"	"Defects in cobalamin (B12) metabolism"	87	87	9	0.103448275862069
"Defects in vitamin and cofactor metabolism"	"Defects in vitamin and cofactor metabolism"	87	87	9	0.103448275862069
"Metabolism of vitamins and cofactors"	"Metabolism of vitamins and cofactors"	87	87	9	0.103448275862069
"Metabolism of water-soluble vitamins and cofactors"	"Metabolism of water-soluble vitamins and cofactors"	87	87	9	0.103448275862069
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"	29	29	3	0.103448275862069
"Signal Transduction"	"Signal Transduction"	2062	2062	209	0.101357904946654
"Acetylcholine regulates insulin secretion"	"Acetylcholine regulates insulin secretion"	10	10	1	0.1
"Activation of the pre-replicative complex"	"Activation of the pre-replicative complex"	30	30	3	0.1
"Alpha-defensins"	"Alpha-defensins"	10	10	1	0.1
"Cobalamin (Cbl, vitamin B12) transport and metabolism"	"Cobalamin (Cbl, vitamin B12) transport and metabolism"	20	20	2	0.1
"Creation of C4 and C2 activators"	"Creation of C4 and C2 activators"	50	50	5	0.1
"E2F-enabled inhibition of pre-replication complex formation"	"E2F-enabled inhibition of pre-replication complex formation"	10	10	1	0.1
"HDACs deacetylate histones"	"HDACs deacetylate histones"	60	60	6	0.1
"IRAK2 mediated activation of TAK1 complex"	"IRAK2 mediated activation of TAK1 complex"	10	10	1	0.1
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	10	10	1	0.1
"Inactivation, recovery and regulation of the phototransduction cascade"	"Inactivation, recovery and regulation of the phototransduction cascade"	30	30	3	0.1
"MASTL Facilitates Mitotic Progression"	"MASTL Facilitates Mitotic Progression"	10	10	1	0.1
"Methylation"	"Methylation"	10	10	1	0.1
"Purine catabolism"	"Purine catabolism"	10	10	1	0.1
"Regulated proteolysis of p75NTR"	"Regulated proteolysis of p75NTR"	10	10	1	0.1
"TRIF-mediated programmed cell death"	"TRIF-mediated programmed cell death"	10	10	1	0.1
"Ca2+ pathway"	"Ca2+ pathway"	61	61	6	0.0983606557377049
"The phototransduction cascade"	"The phototransduction cascade"	31	31	3	0.0967741935483871
"disassembly of the destruction complex and recruitment of AXIN to the membrane"	"disassembly of the destruction complex and recruitment of AXIN to the membrane"	31	31	3	0.0967741935483871
"Aflatoxin activation and detoxification"	"Aflatoxin activation and detoxification"	21	21	2	0.0952380952380952
"Defective ACY1 causes encephalopathy"	"Defective ACY1 causes encephalopathy"	21	21	2	0.0952380952380952
"Netrin-1 signaling"	"Netrin-1 signaling"	42	42	4	0.0952380952380952
"Synthesis of Leukotrienes (LT) and Eoxins (EX)"	"Synthesis of Leukotrienes (LT) and Eoxins (EX)"	21	21	2	0.0952380952380952
"Antigen processing: Ubiquitination & Proteasome degradation"	"Antigen processing: Ubiquitination & Proteasome degradation"	211	211	20	0.0947867298578199
"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	53	53	5	0.0943396226415094
"DNA strand elongation"	"DNA strand elongation"	32	32	3	0.09375
"Signal amplification"	"Signal amplification"	32	32	3	0.09375
"Androgen biosynthesis"	"Androgen biosynthesis"	11	11	1	0.0909090909090909
"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	11	11	1	0.0909090909090909
"Cytosolic sensors of pathogen-associated DNA"	"Cytosolic sensors of pathogen-associated DNA"	66	66	6	0.0909090909090909
"Dimerization of procaspase-8"	"Dimerization of procaspase-8"	11	11	1	0.0909090909090909
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"	11	11	1	0.0909090909090909
"Heme biosynthesis"	"Heme biosynthesis"	11	11	1	0.0909090909090909
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	22	22	2	0.0909090909090909
"Nicotinate metabolism"	"Nicotinate metabolism"	11	11	1	0.0909090909090909
"Regulation by c-FLIP"	"Regulation by c-FLIP"	11	11	1	0.0909090909090909
"Tryptophan catabolism"	"Tryptophan catabolism"	11	11	1	0.0909090909090909
"deactivation of the beta-catenin transactivating complex"	"deactivation of the beta-catenin transactivating complex"	33	33	3	0.0909090909090909
"Assembly of the primary cilium"	"Assembly of the primary cilium"	179	179	16	0.0893854748603352
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways"	"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways"	79	79	7	0.0886075949367089
"Factors involved in megakaryocyte development and platelet production"	"Factors involved in megakaryocyte development and platelet production"	125	125	11	0.088
"Initial triggering of complement"	"Initial triggering of complement"	57	57	5	0.087719298245614
"Orphan transporters"	"Orphan transporters"	114	114	10	0.087719298245614
"Opioid Signalling"	"Opioid Signalling"	80	80	7	0.0875
"Interferon gamma signaling"	"Interferon gamma signaling"	92	92	8	0.0869565217391304
"Phospholipid metabolism"	"Phospholipid metabolism"	138	138	12	0.0869565217391304
"Neuronal System"	"Neuronal System"	280	280	24	0.0857142857142857
"Mitotic Prophase"	"Mitotic Prophase"	106	106	9	0.0849056603773585
"Organelle biogenesis and maintenance"	"Organelle biogenesis and maintenance"	323	323	27	0.0835913312693498
"ABC-family proteins mediated transport"	"ABC-family proteins mediated transport"	36	36	3	0.0833333333333333
"Caspase-mediated cleavage of cytoskeletal proteins"	"Caspase-mediated cleavage of cytoskeletal proteins"	12	12	1	0.0833333333333333
"Chaperonin-mediated protein folding"	"Chaperonin-mediated protein folding"	48	48	4	0.0833333333333333
"Death Receptor Signalling"	"Death Receptor Signalling"	12	12	1	0.0833333333333333
"Miscellaneous substrates"	"Miscellaneous substrates"	12	12	1	0.0833333333333333
"Processive synthesis on the C-strand of the telomere"	"Processive synthesis on the C-strand of the telomere"	12	12	1	0.0833333333333333
"Vitamin B5 (pantothenate) metabolism"	"Vitamin B5 (pantothenate) metabolism"	12	12	1	0.0833333333333333
"Disease"	"Disease"	1954	1954	162	0.082906857727738
"Class I MHC mediated antigen processing & presentation"	"Class I MHC mediated antigen processing & presentation"	255	255	21	0.0823529411764706
"Metabolism of lipids and lipoproteins"	"Metabolism of lipids and lipoproteins"	569	569	46	0.0808435852372583
"ADP signalling through P2Y purinoceptor 1"	"ADP signalling through P2Y purinoceptor 1"	25	25	2	0.08
"Arachidonic acid metabolism"	"Arachidonic acid metabolism"	50	50	4	0.08
"Lipid digestion, mobilization, and transport"	"Lipid digestion, mobilization, and transport"	50	50	4	0.08
"Nitric oxide stimulates guanylate cyclase"	"Nitric oxide stimulates guanylate cyclase"	25	25	2	0.08
"Degradation of the extracellular matrix"	"Degradation of the extracellular matrix"	89	89	7	0.0786516853932584
"Fatty acid, triacylglycerol, and ketone body metabolism"	"Fatty acid, triacylglycerol, and ketone body metabolism"	181	181	14	0.0773480662983425
"Caspase-8 activation by cleavage"	"Caspase-8 activation by cleavage"	13	13	1	0.0769230769230769
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production"	"DEx/H-box helicases activate type I IFN and inflammatory cytokines production"	13	13	1	0.0769230769230769
"Downregulation of TGF-beta receptor signaling"	"Downregulation of TGF-beta receptor signaling"	26	26	2	0.0769230769230769
"EGFR downregulation"	"EGFR downregulation"	26	26	2	0.0769230769230769
"Initiation of Nuclear Envelope Reformation"	"Initiation of Nuclear Envelope Reformation"	13	13	1	0.0769230769230769
"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	26	26	2	0.0769230769230769
"Nuclear Envelope Reassembly"	"Nuclear Envelope Reassembly"	13	13	1	0.0769230769230769
"Retrograde neurotrophin signalling"	"Retrograde neurotrophin signalling"	13	13	1	0.0769230769230769
"Trafficking and processing of endosomal TLR"	"Trafficking and processing of endosomal TLR"	13	13	1	0.0769230769230769
"Metabolism"	"Metabolism"	1565	1565	120	0.0766773162939297
"Interferon Signaling"	"Interferon Signaling"	196	196	15	0.076530612244898
"Biological oxidations"	"Biological oxidations"	174	174	13	0.0747126436781609
"Interferon alpha/beta signaling"	"Interferon alpha/beta signaling"	67	67	5	0.0746268656716418
"Detoxification of Reactive Oxygen Species"	"Detoxification of Reactive Oxygen Species"	27	27	2	0.0740740740740741
"Protein folding"	"Protein folding"	54	54	4	0.0740740740740741
"Chemokine receptors bind chemokines"	"Chemokine receptors bind chemokines"	55	55	4	0.0727272727272727
"Mitotic Telophase/Cytokinesis"	"Mitotic Telophase/Cytokinesis"	14	14	1	0.0714285714285714
"Regulation of pyruvate dehydrogenase (PDH) complex"	"Regulation of pyruvate dehydrogenase (PDH) complex"	14	14	1	0.0714285714285714
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"	14	14	1	0.0714285714285714
"repression of WNT target genes"	"repression of WNT target genes"	14	14	1	0.0714285714285714
"Class A/1 (Rhodopsin-like receptors)"	"Class A/1 (Rhodopsin-like receptors)"	314	314	22	0.0700636942675159
"Amine compound SLC transporters"	"Amine compound SLC transporters"	30	30	2	0.0666666666666667
"Complement cascade"	"Complement cascade"	75	75	5	0.0666666666666667
"HDL-mediated lipid transport"	"HDL-mediated lipid transport"	15	15	1	0.0666666666666667
"HSF1 activation"	"HSF1 activation"	30	30	2	0.0666666666666667
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"	"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"	15	15	1	0.0666666666666667
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)"	"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)"	15	15	1	0.0666666666666667
"NRIF signals cell death from the nucleus"	"NRIF signals cell death from the nucleus"	15	15	1	0.0666666666666667
"RMTs methylate histone arginines"	"RMTs methylate histone arginines"	45	45	3	0.0666666666666667
"Regulation of innate immune responses to cytosolic DNA"	"Regulation of innate immune responses to cytosolic DNA"	15	15	1	0.0666666666666667
"Telomere Maintenance"	"Telomere Maintenance"	60	60	4	0.0666666666666667
"Translocation of GLUT4 to the plasma membrane"	"Translocation of GLUT4 to the plasma membrane"	60	60	4	0.0666666666666667
"WNT5A-dependent internalization of FZD4"	"WNT5A-dependent internalization of FZD4"	15	15	1	0.0666666666666667
"Mitotic Prometaphase"	"Mitotic Prometaphase"	108	108	7	0.0648148148148148
"Gluconeogenesis"	"Gluconeogenesis"	31	31	2	0.0645161290322581
"RNA Polymerase I Transcription Initiation"	"RNA Polymerase I Transcription Initiation"	47	47	3	0.0638297872340425
"G alpha (q) signalling events"	"G alpha (q) signalling events"	189	189	12	0.0634920634920635
"Cell-extracellular matrix interactions"	"Cell-extracellular matrix interactions"	16	16	1	0.0625
"Mismatch Repair"	"Mismatch Repair"	16	16	1	0.0625
"Sphingolipid de novo biosynthesis"	"Sphingolipid de novo biosynthesis"	32	32	2	0.0625
"TGF-beta receptor signaling activates SMADs"	"TGF-beta receptor signaling activates SMADs"	32	32	2	0.0625
