"V1"
"2-LTR circle formation"	"XRCC4"
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective EXT2 causes exostoses 2"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective FMO3 causes Trimethylaminuria (TMAU)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective GGT1 causes Glutathionuria (GLUTH)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective GIF causes intrinsic factor deficiency"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective HLCS causes multiple carboxylase deficiency"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MAN1B1 causes MRT15"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective MAOA causes Brunner syndrome (BRUNS)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective MMAA causes methylmalonic aciduria type cblA"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MMAB causes methylmalonic aciduria type cblB"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MOGS causes MOGS-CDG (CDG-2b)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective MUT causes methylmalonic aciduria mut type"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective PAPSS2 causes SEMD-PA"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective RFT1 causes RFT1-CDG (CDG-1n)"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Defective SLC26A2 causes chondrodysplasias"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"NCOA2 POMC CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2"
"Defective TCN2 causes hereditary megaloblastic anemia"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective UGT1A1 causes hyperbilirubinemia"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defective UGT1A4 causes hyperbilirubinemia"	"NAT1 GGT1 GGT6 ACSM2A GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11"
"Defects in biotin (Btn) metabolism"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defects in cobalamin (B12) metabolism"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defects in vitamin and cofactor metabolism"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Defensins"	"TLR1 DEFB114 DEFB126"
"Degradation of GABA"	"ABAT"
"Degradation of GLI1 by the proteasome"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 ITCH PRKACA PRKACB GLI1 SUFU"
"Degradation of GLI2 by the proteasome"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 PRKACA PRKACB SUFU"
"Degradation of beta-catenin by the destruction complex"	"RPS27A APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1"
"Degradation of the extracellular matrix"	"BCAN NCSTN CMA1 FURIN MMP1 MMP13 MMP15 MMP16 MMP17 PLG LAMA3 LAMC2 LAMC1 CD44 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1 ACAN ADAMTS4 ADAMTS9 CAPN1 CAPNS1 NID1"
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"CACNB3 CACNB1 CACNA1E CACNA2D1 CACNG2 CACNG4"
"Depolymerisation of the Nuclear Lamina"	"PRKCA LPIN3"
"Deposition of new CENPA-containing nucleosomes at the centromere"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB CASC5 CENPI CENPO SMARCA5"
"Depyrimidination"	"TDG"
"Dermatan sulfate biosynthesis"	"BCAN VCAN"
"Detoxification of Reactive Oxygen Species"	"GPX1 CAT GPX8 P4HB PRDX2"
"Developmental Biology"	"APH1A NCSTN NOTCH1 AKT1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 POLR2A POLR2B CNTN1 RPS6KA5 DLG1 FURIN RPS6KA6 MAPK12 NCK1 PAK2 RAC1 ROBO1 SLIT2 SOS1 BOC CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 AP2A2 CLTA DNM2 EGFR ERBB2 FYN KIF4A KIF4B PRKCQ TRPC1 CDH2 CTNNA1 CACNA1C CACNB3 CLASP1 PTK2 ROCK1 SPTAN1 ST8SIA2 COL4A1 COL4A3 COL4A4 COL6A2 COL6A3 COL6A6 EP300 HSP90AB1 ABLIM1 ACTB AGAP2 ANK2 ANK3 ARHGAP35 ARHGEF7 CACNA1G CACNA1H CACNA1I CACNA1S CACNB1 CLASP2 CLTCL1 CNTN2 CNTN6 CSNK2A1 DCX DOCK1 EPHA1 EPHA2 EPHA3 EPHA6 EPHA7 EPHB1 EPHB3 EPHB6 FARP2 GDNF GFRA1 ITGA1 ITGA2 ITGA5 ITGB3 ITSN1 KALRN KIAA1598 LAMA1 LAMC1 LIMK1 MYH10 MYH11 MYH14 MYH9 NFASC NRCAM PLXNA1 PLXNA2 PLXNB1 PLXNB3 RHOA RHOC ROCK2 SCN10A SCN1A SCN2A SCN3A SCN4A SCN5A SCN7A SCN8A SCN9A SEMA3A SEMA4A SEMA4D SEMA5A SPTB SPTBN1 SPTBN4 TIAM1 TLN1 TRIO TRPC5 TRPC6 UNC5A UNC5C UNC5D VAV2 WASL NCOR1 MYF5 MYOG SPAG9 STAT3 EPAS1 HIF3A NCOR2 ADIPOQ DKK1 EOMES GATA6 GCK HNF1B HNF4G MED11 MED12 MED13 MED29 NCOA3 NR5A2 PRDM14 SMAD2 SMAD4 TDGF1"
"Digestion of dietary carbohydrate"	"LCT MGAM SI"
"Dimerization of procaspase-8"	"FADD RIPK1 FASLG"
"Disease"	"XRCC4 RPL3L RPL4 RPS13 RPS27A PRPS1 PRPS1L1 B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN APH1A NCSTN NOTCH1 ABCA4 GNB2 GNB3 GNG8 AKT1 RPS6KB2 APC AXIN2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 BRAF IL6 JAK2 MAP2K1 MAP2K2 MAPK1 CCL2 GTF2F1 NELFB POLR2A POLR2B NAT1 SNAP25 STX1A SYT1 PRKCA CNTN1 DTX2 DTX4 ITCH JAG2 MIB1 MIB2 APP MAP2K4 FGF17 FGF22 TFDP1 C5 CALM1 KPNA1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 FURIN PRKACA PRKACB PAK2 RAC1 SOS1 PTCH1 ACACB CREBBP FASN NCOA2 TBL1XR1 PDE6A RHO AGO1 AGO3 AGO4 AP1G1 AP2A2 B2M CD80 CLTA CYBB EGF EGFR ERBB2 ERBB3 ERBB4 FBXW7 FGF19 FGFR3 FGFR4 FYN GAB1 HLA-A IRS2 ITPR2 ITPR3 MTOR NCF2 PAG1 PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ PTEN RICTOR RNF111 SEC24B SEC24C SH3KBP1 TNRC6B TNRC6C ADRA2C ADRA1D DDOST AKR7L GGT1 GGT6 DRD2 DRD3 HTR2A ACSM2A APCS HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NPPA ODAM TGFBI CNTRL POMC SRD5A3 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR GNAS PRKAR1A CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5 FZD3 EP300 HSP90AB1 ARHGEF7 CSNK2A1 RHOA NCOR1 FEN1 CYP7B1 APOB LRP1 STAB2 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2 GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11 NAPEPLD MCCC1 PC PCCA BLOC1S6 ARSB HEXA PDE1C CALCRL RBL1 PARD3 PXN CD44 STAT3 P4HB CCR1 CCR3 CCRL2 CXCR3 XCL1 CHPF2 CHST11 CHST15 CSGALNACT1 KMT2D NCOR2 SMARCA4 TRRAP LDLR AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTCH2 PTH2R WNT2 GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60 CUBN LMBRD1 CDC37 HDAC5 HDAC7 HDAC9 STAT5A GTF2H1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2 DKK1 GCK SMAD2 SMAD4 LCT MGAM SI AGL ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3 BCO2 CCNT1 CUX1 DOCK2 DVL3 ELL EPS15L1 G6PC3 GAPDHS GCKR GTF2E1 GUCY2F GYG2 HECW1 HK3 LEO1 LGR6 LRAT LRP2 LRP5 LRP6 METAP2 MKNK1 MTMR4 NHLRC1 NOS1 OS9 PFKFB1 PGK1 PHKA2 PHKG2 PPEF1 PRKCZ PYGM RBP3 RGS9 RPE RSPO4 SCUBE2 SFRP1 SLC5A2 SLC5A9 STAM STRAP SUPT16H SV2A TAF1 TAF1L TAF4 TAF5 TGFBR2 TNKS TRIM24 USP34 USP9X WWTR1 ZNRF3 MSRA"
"Diseases associated with N-glycosylation of proteins"	"SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5"
"Diseases associated with glycosaminoglycan metabolism"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Diseases associated with visual transduction"	"GPC3 GPC4 GPC5 SDC3 ABCA4 PRKCA CALM1 PDE6A RHO PRKCQ APOB LRP1 NAPEPLD LDLR BCO2 GUCY2F LRAT LRP2 METAP2 PPEF1 RBP3 RGS9"
"Diseases of glycosylation"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN SEC24B SEC24C DDOST SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Disinhibition of SNARE formation"	"PRKCA"
"Displacement of DNA glycosylase by  APE1"	"TDG"
"Dissolution of Fibrin Clot"	"PLG SERPINE2 HRG SERPINB2"
"Dopamine Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1 SYN1"
"Dopamine receptors"	"DRD2 DRD3"
"Double-Strand Break Repair"	"XRCC4 BRCA1 RAD50 BRCA2 BRIP1 PRKDC TP53BP1"
"Downregulation of ERBB2:ERBB3 signaling"	"RPS27A AKT1 ERBB2 ERBB3"
"Downregulation of ERBB4 signaling"	"RPS27A ITCH ERBB4 NEDD4"
"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	"RPS27A RNF111 NCOR1 NCOR2 SMAD2 SMAD4 USP9X"
"Downregulation of TGF-beta receptor signaling"	"RPS27A SMAD2 MTMR4 STRAP TGFBR2"
"Downstream TCR signaling"	"MAP3K7 NFKBIA CARD11 INPP5D PIK3CA PIK3CB PIK3R1 PRKCQ PTEN"
"Downstream signal transduction"	"AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB NCK1 SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C STAT1 PRKAR1A PDE1C STAT3 STAT5A BCAR1"
"Downstream signaling events of B Cell Receptor (BCR)"	"RPS27A AKT1 RPS6KB2 CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 MAP3K7 NFKBIA FGF17 FGF22 CARD11 RASGRP3 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C"
"Downstream signaling of activated FGFR"	"AKT1 RPS6KB2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 PRKCA FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB SOS1 AGO1 AGO3 AGO4 CD80 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C PRKAR1A PDE1C"
"Dual incision reaction in GG-NER"	"ERCC5 GTF2H1"
"Dual incision reaction in TC-NER"	"POLR2A POLR2B ERCC5 ERCC8 GTF2H1"
"E2F mediated regulation of DNA replication"	"PPP2R1B CCNA1 ORC6 TFDP1 PPP2R3B RB1"
"E2F-enabled inhibition of pre-replication complex formation"	"ORC6"
"ECM proteoglycans"	"BCAN VCAN LAMA3 ITGA2 ITGB3 LAMA1 LAMC1 ACAN LUM DAG1 ITGA7 ITGA8 ITGB6 LAMA2 LAMA4 LAMB2 LRP4 MATN1 PTPRS TNN"
"EGFR Transactivation by Gastrin"	"PRKCA SOS1 EGFR"
"EGFR downregulation"	"RPS27A AP2A2 CLTA EGF EGFR SH3KBP1 ARHGEF7 EPS15L1 STAM"
"EGFR interacts with phospholipase C-gamma"	"PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB EGF EGFR ITPR2 ITPR3 PRKAR1A PDE1C"
"EPH-Ephrin signaling"	"APH1A NCSTN PAK2 RAC1 AP2A2 CLTA FYN PTK2 ROCK1 ACTB ARHGEF7 CLTCL1 EPHA1 EPHA2 EPHA3 EPHA6 EPHA7 EPHB1 EPHB3 EPHB6 ITSN1 KALRN LIMK1 MYH10 MYH11 MYH14 MYH9 RHOA ROCK2 TIAM1 VAV2 WASL"
"EPH-ephrin mediated repulsion of cells"	"APH1A NCSTN RAC1 AP2A2 CLTA FYN CLTCL1 EPHA1 EPHA2 EPHA3 EPHA6 EPHA7 EPHB1 EPHB3 EPHB6 TIAM1 VAV2"
"EPHA-mediated growth cone collapse"	"FYN PTK2 ROCK1 EPHA1 EPHA2 EPHA3 EPHA6 EPHA7 MYH10 MYH11 MYH14 MYH9 RHOA ROCK2"
"EPHB-mediated forward signaling"	"RAC1 FYN PTK2 ROCK1 ACTB EPHB1 EPHB3 EPHB6 ITSN1 KALRN LIMK1 RHOA ROCK2 TIAM1 WASL"
"ER Quality Control Compartment (ERQC)"	"EDEM1 EDEM2 EDEM3"
"ER to Golgi Transport"	"SEC24B SEC24C"
"ER-Phagosome pathway"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 B2M HLA-A HLA-B TAP1"
"ERK activation"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1"
"ERK/MAPK targets"	"PPP2R1B MAPK1 DUSP6 DUSP7 MAPK7 RPS6KA5"
"ERK1 activation"	"IL6 JAK2 MAP2K1"
"ERK2 activation"	"IL6 JAK2 MAP2K2 MAPK1"
"ERKs are inactivated"	"PPP2R1B MAPK1 DUSP6 DUSP7 MAPK7"
"Early Phase of HIV Life Cycle"	"XRCC4 KPNA1 FEN1"
"Effects of PIP2 hydrolysis"	"ITPR2 ITPR3 PRKCQ DAGLA TRPC6 DGKE DGKG"
"Eicosanoid ligand-binding receptors"	"GPR17 PTGER2 PTGER3"
"Eicosanoids"	"CYP4A11 CYP4A22 CYP4F8 PTGIS CYP4F12"
"Elastic fibre formation"	"FURIN LOXL2 ITGA5 ITGB3 ITGA8 ITGB6 EFEMP2 FBLN1 FBLN2 FBLN5 FBN1 FBN2 FBN3 LTBP1 LTBP4 MFAP3"
"Electric Transmission Across Gap Junctions"	"PANX2"
"Electron transport from NADPH to Ferredoxin"	"FDXR"
"Elevation of cytosolic Ca2+ levels"	"ITPR2 ITPR3 TRPC6 P2RX1"
"Elongation arrest and recovery"	"GTF2F1 NELFB POLR2A POLR2B CCNT1 ELL SUPT16H"
"Endogenous sterols"	"NCOA2 POMC PTGIS CYP7B1 CYP11A1 CYP11B1 FDXR"
"Endosomal Sorting Complex Required For Transport (ESCRT)"	"RPS27A STAM SNF8"
"Endosomal/Vacuolar pathway"	"B2M HLA-A HLA-B LNPEP"
"Energy dependent regulation of mTOR by LKB1-AMPK"	"PRKAG3 PRKAA1 TSC1"
"Entry of Influenza Virion into Host Cell via Endocytosis"	"CLTA BLOC1S6"
"Ephrin signaling"	"PAK2 RAC1 FYN ARHGEF7 EPHB1 EPHB3 EPHB6"
"Epigenetic regulation of gene expression"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB TDG SMARCA5 EED ARID4B GTF2H1 DNMT1 DNMT3B UHRF1 JARID2 PHF19 RRP8 TAF1C TET1"
"Erythrocytes take up carbon dioxide and release oxygen"	"CA4"
"Erythrocytes take up oxygen and release carbon dioxide"	"CA4"
"Establishment of Sister Chromatid Cohesion"	"CDCA5 RAD21 SMC3 WAPAL"
"Ethanol oxidation"	"ACSS1 ADH1C"
"Eukaryotic Translation Elongation"	"RPL3L RPL4 RPS13 RPS27A EEF1A1"
"Eukaryotic Translation Initiation"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A EIF2B5"
"Eukaryotic Translation Termination"	"RPL3L RPL4 RPS13 RPS27A ETF1"
"Export of Viral Ribonucleoproteins from Nucleus"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR BLOC1S6"
"Extension of Telomeres"	"POLE FEN1 POLD1 POLD3"
