"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"Intrinsic Pathway"	"KLKB1 F8 SERPINA5 SERPINC1 A2M F11 GP1BA GP5 SERPING1 VWF"
"Intrinsic Pathway for Apoptosis"	"AKT2 AKT3 CASP8 BID YWHAE YWHAQ YWHAZ BCL2L11 TFDP1 TP53 CASP3 APAF1 CASP7 NMT1"
"Inwardly rectifying K+ channels"	"ABCC8 ABCC9 GNB3 GNG12 GNG2 KCNJ8 GABBR1 GABBR2 KCNJ10 KCNJ12 KCNJ15 KCNJ2 KCNJ5 KCNJ1"
"Ion channel transport"	"UBB UBC TRPC1 WWP1 TRPC3 TRPC4 TRPC7 ATP1B1 PDZD11 ATP7A GABRR1 GABRR2 GABRA1 GABRA3 GABRA4 GABRA5 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ ATP2A1 ATP2A2 ATP2A3 ATP2B1 ATP2B2 ATP2B3 ANO1 ANO10 ANO2 ANO3 ANO4 ANO5 ANO6 ANO7 ASIC1 ASIC2 ASIC4 ASIC5 ATP10A ATP10B ATP11A ATP11B ATP11C ATP12A ATP1A3 ATP1A4 ATP2C1 ATP2C2 ATP4A ATP7B ATP8A1 ATP8A2 ATP8B4 ATP9A ATP9B BEST3 CLCA1 CLCA2 CLCN1 CLCN2 CLCN3 CLCN4 CLCN7 CLCNKA CLCNKB GLRA2 GLRA4 HTR3C HTR3D MCOLN2 MCOLN3 NALCN OSTM1 RYR1 RYR2 RYR3 SCNN1A SCNN1G SGK2 SGK3 SLC17A3 SLC9B1 SLC9B2 SLC9C1 SLC9C2 TPCN1 TPCN2 TRDN TRPA1 TRPC4AP TRPM2 TRPM3 TRPM6 TRPM7 TRPM8 TRPV4 TRPV5 TRPV6 TTYH2 TTYH3 UNC79 UNC80 WNK1 WNK2 WNK3 WNK4"
"Ion transport by P-type ATPases"	"ATP1B1 PDZD11 ATP7A ATP2A1 ATP2A2 ATP2A3 ATP2B1 ATP2B2 ATP2B3 ATP10A ATP10B ATP11A ATP11B ATP11C ATP12A ATP1A3 ATP1A4 ATP2C1 ATP2C2 ATP4A ATP7B ATP8A1 ATP8A2 ATP8B4 ATP9A ATP9B"
"Ionotropic activity of Kainate Receptors"	"DLG1 DLG3 GRIK2 GRIK4 NCALD"
"Iron uptake and transport"	"TFRC ATP6V0A4 ATP6V1B1 ATP6V1C2 ATP6V1E1 ATP6V1E2 ATP6V1H TCIRG1 TF HEPH SLC11A2 SLC22A17 STEAP3"
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	"IRAK1 MAP3K7 MAPK10 MAPK9 NOD1 TAB1 TAB2"
"KSRP destabilizes mRNA"	"DIS3 EXOSC7 EXOSC8 PARN YWHAZ"
"Keratan sulfate biosynthesis"	"B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ACAN B3GNT2 CHST1 CHST2 CHST6 KERA OMD"
"Keratan sulfate degradation"	"HEXA GNS ACAN KERA OMD"
"Keratan sulfate/keratin metabolism"	"B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 HEXA GNS ACAN B3GNT2 CHST1 CHST2 CHST6 KERA OMD"
"Kinesins"	"KIF3A CENPE KIF18A KIF22 KIF23 KIF2B KIF3B KIF3C KIF4A KIF4B KIF5A KIF5B KIF5C RACGAP1 KIF9"
"Klotho-mediated ligand binding"	"FGF23 FGFR1 FGFR4 KL"
"L13a-mediated translational silencing of Ceruloplasmin expression"	"EIF2S2 EIF3A EIF3B EIF3E EIF3I EIF4B EIF4G1 EIF4H RPL22 RPL26 RPL26L1 RPL36 RPL37 RPS13 RPS20 RPS23 RPS5"
"L1CAM interactions"	"NCAN MAP2K1 HSPA8 CNTN1 NUMB RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5 DLG1 DLG3 RPS6KA6 RAC1 AP2A1 AP2B1 DNM2 DNM3 EGFR FGFR1 ITGAV ITGB1 KIF4A KIF4B SH3GL2 SPTBN2 SPTAN1 ANK2 ANK3 CHL1 CNTN6 CSNK2A1 DPYSL2 EPHB2 ITGA1 ITGA10 ITGA2 ITGA2B ITGA5 ITGA9 ITGB3 KCNQ2 KCNQ3 LAMA1 LAMB1 LAMC1 MSN NFASC NRCAM NRP1 NRP2 RPS6KA4 SCN10A SCN11A SCN1A SCN2A SCN3A SCN4A SCN7A SCN8A SCN9A SPTA1 SPTB SPTBN1 SPTBN4 SPTBN5"
"LDL-mediated lipid transport"	"APOB CETP LPA"
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	"CTNNB1 CREBBP EP300 LRRFIP1"
"Lagging Strand Synthesis"	"RFC2 RFC4 RFC5 RPA1 POLA2 POLD3 DNA2"
"Laminin interactions"	"HSPG2 ITGAV ITGB1 LAMB3 ITGA6 ITGB4 ITGA1 ITGA2 LAMA1 LAMB1 LAMC1 ITGA3 LAMA5 NID1 ITGA7 LAMA2 LAMA4 NID2"
"Late Phase of HIV Life Cycle"	"UBB UBC GTF2F1 NCBP1 NCBP2 NELFA NELFB NELFCD NELFE POLR2A POLR2B POLR2G SUPT5H NMT1 AAAS NUP133 NUP153 NUP188 NUP205 NUP210 NUP214 NUP50 NUP54 NUP62 NUP88 NUPL1 RANBP2 TPR NMT2 VPS37B PDCD6IP VPS4B VTA1 MNAT1 XPO1 TAF9 ERCC3 GTF2H3 CCNT2 GTF2A1 GTF2B GTF2E1 RNGTT RNMT SSRP1 SUPT16H TAF1 TAF1L TAF2 TAF5 TCEB3 TAT"
"Latent infection of Homo sapiens with Mycobacterium tuberculosis"	"CYBB NCF4 TPO FGD1 ATP6V0A4 ATP6V1B1 ATP6V1C2 ATP6V1E1 ATP6V1E2 ATP6V1H NOS1 NOS2 NOS3 TCIRG1 MSRA"
"Leading Strand Synthesis"	"RFC2 RFC4 RFC5 POLA2 POLD3"
"Lectin pathway of complement activation"	"MASP1 MASP2 MBL2"
"Leukotriene receptors"	"CYSLTR1 CYSLTR2"
"Ligand-gated ion channel transport"	"GABRR1 GABRR2 GABRA1 GABRA3 GABRA4 GABRA5 GABRB2 GABRB3 GABRG2 GABRG3 GABRQ GLRA2 GLRA4 HTR3C HTR3D"
"Ligand-receptor interactions"	"BOC CDON PTCH1"
"Linoleic acid (LA) metabolism"	"ABCD1 ELOVL5"
"Lipid digestion, mobilization, and transport"	"HSPG2 ABCG8 PRKACA ALB APOB SCARB1 APOA5 LPL CUBN A2M PLIN1 CEL PNLIPRP1 PNLIPRP2 CETP LCAT ABHD5 LIPE LPA NPC1L1"
"Lipoprotein metabolism"	"HSPG2 ALB APOB SCARB1 APOA5 LPL CUBN A2M CETP LCAT LPA"
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	"ITGB1"
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"NOTCH1 CUL1 SKP1 FBXW7"
"Loss of Function of SMAD2/3 in Cancer"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Loss of Function of SMAD4 in Cancer"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Loss of Function of TGFBR1 in Cancer"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Loss of Function of TGFBR2 in Cancer"	"UBB UBC TFDP1 SP1 CBL RNF111 SMURF2 STUB1 RHOA NCOR1 SERPINE1 E2F4 E2F5 MYC RBL1 XPO1 ARHGEF18 PARD3 NCOR2 SMAD2 SMAD3 SMAD4 CCNT2 CGN NEDD8 PRKCZ TGFBR1 TGFBR2 USP15 USP9X ZFYVE9"
"Loss of Nlp from mitotic centrosomes"	"PPP2R1A NEK2 PLK1 YWHAE AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CSNK1E FGFR1OP MAPRE1 NEDD1 NINL ODF2 OFD1 PCNT PLK4 PRKAR2B SFI1 TUBB4A TUBB4B TUBG1"
"Loss of proteins required for interphase microtubule organization from the centrosome"	"PPP2R1A NEK2 PLK1 YWHAE AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CSNK1E FGFR1OP MAPRE1 NEDD1 NINL ODF2 OFD1 PCNT PLK4 PRKAR2B SFI1 TUBB4A TUBB4B TUBG1"
"Lysine catabolism"	"DLST OGDH AADAT"
"Lysosome Vesicle Biogenesis"	"HSPA8 ARRB1 AP1G1 AP1M1 DNM2 SH3GL2 GNS"
"Lysosphingolipid and LPA receptors"	"LPAR1 LPAR3 S1PR2 S1PR4"
"M Phase"	"PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 AURKB PLK1 PRKCA PRKCB NEK6 NEK9 CENPE KIF18A KIF23 KIF2B MAD1L1 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN MAPRE1 AAAS NUP133 NUP153 NUP188 NUP205 NUP210 NUP214 NUP50 NUP54 NUP62 NUP88 NUPL1 RANBP2 TPR LMNB1 CSNK2A1 AHCTF1 ANKLE2 CASC5 CENPA CENPF CENPN CENPP CLIP1 ESPL1 GOLGA2 HIST3H3 KNTC1 LEMD3 LPIN2 MASTL MAU2 NCAPD2 NCAPD3 NCAPG NCAPG2 NCAPH NDC80 NIPBL NUF2 PDS5B PPP2R2D RAB1B RAD21 RB1 SETD8 SGOL2 SMC1A SMC2 SMC4 SPDL1 STAG1 STAG2 TAOK1 TMPO VRK2 WAPAL XPO1 ZW10 ZWINT"
"M/G1 Transition"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC CDC45 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RPA1 CDT1 POLA2 POLE"
"MAP kinase activation in TLR cascade"	"PPP2CB PPP2R1A PPP2R1B IL6ST JAK1 JAK2 MAP2K1 ATF1 FOS IRAK1 MAP2K3 MAP2K6 MAP3K7 MAPK10 MAPK9 MAPKAPK3 MEF2C NOD1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5 TAB1 TAB2"
"MAPK targets/ Nuclear events mediated by MAP kinases"	"PPP2CB PPP2R1A PPP2R1B ATF1 FOS MAPK10 MAPK9 MEF2C RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5"
"MASTL Facilitates Mitotic Progression"	"PPP2CB PPP2R1A PPP2R1B MASTL PPP2R2D"
"MEK activation"	"HRAS KRAS MAP2K1"
"MHC class II antigen presentation"	"KIF3A AP1G1 AP1M1 AP2A1 AP2B1 CENPE CTSS DNM2 DNM3 DYNC1H1 DYNC1I1 DYNC1LI2 DYNC2H1 HLA-DRA KIF18A KIF22 KIF23 KIF2B KIF3B KIF3C KIF4A KIF4B KIF5A KIF5B KIF5C LGMN RACGAP1 SEC23A SEC24B SEC31A SH3GL2 SPTBN2"
"MPS I - Hurler syndrome"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS II - Hunter syndrome"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IIIA - Sanfilippo syndrome A"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IIIB - Sanfilippo syndrome B"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IIIC - Sanfilippo syndrome C"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IIID - Sanfilippo syndrome D"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IV - Morquio syndrome A"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IV - Morquio syndrome B"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS IX - Natowicz syndrome"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS VI - Maroteaux-Lamy syndrome"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MPS VII - Sly syndrome"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN ABCC5 B4GALT2 B4GALT5 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 STAB2 PAPSS2 SLC35B2 HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL GNS ACAN B3GNT2 CHST1 CHST2 CHST6 EXT1 HAS1 HAS2 HAS3 HS2ST1 HS3ST2 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HYAL2 KERA NDST3 NDST4 OMD SLC9A1"
"MRN complex relocalizes to nuclear foci"	"NBN RAD50"
"Meiosis"	"ATM BRCA1 NBN ATR RPA1 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN LMNB1 RAD50 RAD51 BLM BRCA2 DIDO1 FKBP6 HIST3H3 MLH1 MLH3 MSH4 PRDM9 RAD21 RBBP8 SMC1A SMC1B STAG1 STAG2 SUN1 SUN2 SYCE1 SYCE2 SYCP1 SYCP2 SYCP3 SYNE1 SYNE2 TERF1 TERF2 TEX15 TOP3A"
"Meiotic recombination"	"ATM BRCA1 NBN RPA1 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN RAD50 RAD51 BLM BRCA2 HIST3H3 MLH1 MLH3 MSH4 PRDM9 RBBP8 TEX15 TOP3A"
"Meiotic synapsis"	"BRCA1 ATR H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN LMNB1 DIDO1 FKBP6 HIST3H3 RAD21 SMC1A SMC1B STAG1 STAG2 SUN1 SUN2 SYCE1 SYCE2 SYCP1 SYCP2 SYCP3 SYNE1 SYNE2 TERF1 TERF2"
"Membrane Trafficking"	"AKT2 UBB UBC PRKAA2 HSPA8 ARRB1 YWHAE YWHAQ YWHAZ PRKAB1 RAC1 KIF3A AP1G1 AP1M1 DNM2 KIF3B LNPEP SEC23A SEC24B SEC31A SH3GL2 TJP1 VPS37B EXOC2 EXOC4 EXOC6 EXOC8 GBF1 CLTCL1 BLOC1S6 VPS4B VTA1 COPB1 COPB2 AP4E1 DTNBP1 GAK GNS IGF2R OCRL PICALM PIK3C2A RAB5C SNX2 SNX9 SORT1 STX4 TBC1D8B TFRC TGOLN2 TPD52 SLC2A4 STXBP3 GJA10 GJC1 VPS25 MYH2 MYO1C MYO5A DAB2 GJA8 GJA9 GJB7 MYO6 C2CD5 MYH1 MYH13 MYH15 MYH3 MYH4 MYH6 MYH7 MYH7B MYH8 RALGAPB TBC1D4"
"Membrane binding and targetting of GAG proteins"	"UBB UBC NMT2 VPS37B"
"Metabolic disorders of biological oxidation enzymes"	"GNB3 GNG12 GNG2 P2RY1 CCL2 CHRM3 C3 C5 GABBR1 GABBR2 PTCH1 SMO ADCYAP1 ADCYAP1R1 NCOA1 NCOA2 RXRA RHO ADORA1 ADRA2B ADRA1A ADRB3 CYP1A2 CYP2A13 CYP3A4 CYP3A5 DPEP2 MGST1 CHRM2 DRD2 DRD3 DRD4 DRD5 HRH1 HRH2 HTR1A HTR1B HTR1E HTR1F HTR7 TAAR1 TAAR2 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 LHB POMC AVPR2 GNAS CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 SSTR3 FZD1 FZD2 FZD4 FZD5 FZD8 CCR2 CYP46A1 CYP7A1 CXCR4 ACSS2 ADH4 BPNT1 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7 CALCR ACKR2 CCL25 CCL3 CX3CL1 CXCL10 CXCL2 CXCL9 XCR1 ACKR1 AGT AGTR1 APLNR AVPR1A AVPR1B C3AR1 CCKAR CCKBR CCL23 CYSLTR1 CYSLTR2 EDNRB F2RL1 FFAR1 FFAR3 FPR1 FPR2 GALR1 GALR2 GHSR GPBAR1 GPER1 GPR18 GPR37 GPR37L1 GPR39 HCAR3 HCRTR1 HCRTR2 LPAR1 LPAR3 LPAR4 LPAR6 MC1R MC2R MC4R MCHR2 MTNR1B NMB NMBR NMS NPFFR2 NPSR1 NPY NPY1R NPY5R NTSR2 OPRK1 OPRL1 OXER1 P2RY2 PDYN PENK PPY PRLHR PTGDR PTGER2 PTGER3 PTGER4 RGR RRH RXFP1 RXFP2 S1PR2 S1PR4 SSTR1 SSTR2 SSTR4 SUCNR1 TAC3 TACR2 TACR3 TBXA2R TRH TRHR CRHR2 GCG GHRHR GIPR GLP2R PTH PTH1R WNT16 WNT2 WNT3 WNT7A WNT7B WNT9A WNT9B GPRC6A GRM1 GRM2 GRM3 GRM4 GRM5 GRM6 GRM7 GRM8 TAS1R2 TAS1R3 TAS2R1 TAS2R16 TAS2R20 TAS2R39 TAS2R46 TAS2R7 TAS2R8"
